"All","Alle"
"None","Geen"
"Allowed Scopes","Toegestane scopes"
"More permissions are needed to delete the ""%1"" item.","Er zijn meer bevoegdheden nodig om item ""%1"" te verwijderen."
"You need more permissions to apply some of the rule updates.","Je hebt meer bevoegdheden nodig om een aantal van de regel updates uit te voeren."
"More permissions are needed to view this item.","Meer bevoegdheden zijn nodig om dit item te bekijken."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Deze entiteit moet toegewezen zijn aan een winkelaanzicht. Verifieer de toewijziging en probeer opnieuw."
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","Dit item moet toegewezen worden aan een winkelaanzicht.
                Selecteer een website voor dit product in ""Product op Websites""."
"Orders can only be completed in an active store. Verify the store and try again.","Bestellingen kunnen alleen worden afgerond in een actieve winkel. Controleer de winkel en probeer opnieuw."
"This item needs to be assigned to a store view. Assign item and try again.","Dit item moet toegewezen zijn aan een winkelaanzicht. Wijs het item toe en probeer opnieuw."
"More permissions are needed to save this item.","Meer bevoegdheden zijn nodig om dit item op te slaan."
"More permissions are needed to delete this item.","Meer bevoegdheden zijn nodig om dit item te verwijderen."
"Not allowed to edit the category's design attributes","Niet toegestaan om de ontwerpattributen van de categorie te bewerken"
"At least one website or store group needs to be selected. Select and try again.","Minstens één website of winkel-groep moet geselecteerd zijn. Selecteer en probeer opnieuw."
"More permissions are needed to set All Scopes to a Role.","Meer bevoegdheden zijn nodig om Alle Scopes aan een rol te koppelen."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","De ID van website ""%1"" is onjuist. Controleer de website-ID en probeer opnieuw."
"You need more permissions to access website ""%1"".","Je hebt meer bevoegdheden nodig voor toegang tot website ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","De ID van winkelzicht ""%1"" is onjuist. Controleer het store view-ID en probeer opnieuw."
"More permissions are needed to save this setting.","Meer bevoegdheden zijn nodig om deze instelling op te slaan."
"Role Scopes","Rol scopes"
"Custom","Aangepast"
