"All","Semua"
"None","Kosong"
"Allowed Scopes","Diizinkan"
"You need more permissions to delete this item(s): %1.","Anda membutuhkan lebih banyak iziin untuk menghapus item-item ini: %1."
"You need more permissions to apply some of the rule updates.","Anda membutuhkan lebih banyak izin untuk menerapkan beberapa aturan pembaruan."
"Please assign this entity to a store view.","Silakan menetapkan entitas ini untuk tampilan toko."
"You can create orders only in an active store.","Anda dapat membuat pesanan hanya di toko yang sedang aktif."
"Please assign this item to a store view.","Tetapkan item ini ke tampilan toko."
"You need more permissions to save this item.","Anda membutuhkan lebih lebih banyak izin untuk menyimpan item ini."
"You need more permissions to delete this item.","Anda membutuhkan lebih banyak izin untuk menghapus item ini."
"You need more permissions to view this item.","Anda membutuhkan lebih banyak izin untuk melihat item ini."
"Please specify at least one website or one store group.","Tentukan setidaknya satu website atau satu kelompok toko."
"You need more permissions to set All Scopes to a Role.","Anda membutuhkan lebih banyak izin untuk mengatur semua lingkup peran."
"Incorrect website ID: %1","Salah ID situs: %1"
"You need more permissions to access website ""%1"".","Anda membutuhkan lebih banyak izin untuk mengakses situs ""%1""."
"Incorrect store ID: %1","Salah ID toko: %1"
"You need more permissions to save this setting.","Anda membutuhkan lebih banyak izin untuk menyimpan pengaturan ini."
"Role Scopes","Lingkup peran"
"Custom","Khusus"
"More permissions are needed to save this item.","More permissions are needed to save this item."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
