"All","Semua"
"None","Tidak ada"
"Allowed Scopes","Cakupan yang Diizinkan"
"You need more permissions to delete this item(s): %1.","Anda memerlukan izin tambahan untuk menghapus item ini: %1."
"You need more permissions to apply some of the rule updates.","Anda memerlukan izin tambahan untuk menerapkan beberapa pembaruan aturan."
"Please assign this entity to a store view.","Silakan tetapkan entitas ini ke tampilan toko."
"You can create orders only in an active store.","Anda hanya bisa membuat pesanan di toko yang aktif."
"Please assign this item to a store view.","Silakan tetapkan item ini ke tampilan toko."
"You need more permissions to save this item.","Anda memerlukan izin tambahan untuk menyimpan item ini."
"You need more permissions to delete this item.","Anda memerlukan izin tambahan untuk menghapus item ini."
"You need more permissions to view this item.","Anda memerlukan izin tambahan untuk melihat item ini."
"Please specify at least one website or one store group.","Silakan tentukan setidaknya satu situs web atau satu grup toko."
"You need more permissions to set All Scopes to a Role.","Anda memerlukan izin tambahan untuk menetapkan Semua Cakupan ke sebuah Wewenang."
"Incorrect website ID: %1","ID salah situs: %1"
"You need more permissions to access website ""%1"".","Anda perlu lebih banyak izin untuk mengakses situs web ""%1""."
"Incorrect store ID: %1","ID Toko salah: %1"
"You need more permissions to save this setting.","Anda perlu izin tambahan untuk menyimpan pengaturan ini."
"Role Scopes","Cakupan Wewenang"
"Custom","Ubah Suai"
"More permissions are needed to save this item.","Izin lain diperlukan untuk menyimpan item ini."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
