"All","ทั้งหมด"
"None","ไม่มี"
"Allowed Scopes","Allowed Scopes"
"You need more permissions to delete this item(s): %1.","You need more permissions to delete this item(s): %1."
"You need more permissions to apply some of the rule updates.","คุณต้องการสิทธิ์เพิ่มเติมในการอัพเดท"
"Please assign this entity to a store view.","Please assign this entity to a store view."
"You can create orders only in an active store.","You can create orders only in an active store."
"Please assign this item to a store view.","Please assign this item to a store view."
"You need more permissions to save this item.","You need more permissions to save this item."
"You need more permissions to delete this item.","You need more permissions to delete this item."
"You need more permissions to view this item.","You need more permissions to view this item."
"Please specify at least one website or one store group.","Please specify at least one website or one store group."
"You need more permissions to set All Scopes to a Role.","You need more permissions to set All Scopes to a Role."
"Incorrect website ID: %1","Incorrect website ID: %1"
"You need more permissions to access website ""%1"".","คุณต้องเพิ่มเติมสิทธิ์การเข้าถึงเว็บไซต์ ""%1""."
"Incorrect store ID: %1","Incorrect store ID: %1"
"You need more permissions to save this setting.","You need more permissions to save this setting."
"Role Scopes","ขอบเขตบทบาท"
"Custom","กำหนดเอง"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"More permissions are needed to delete the ""%1"" item.","ต้องมีสิทธิ์เพิ่มขึ้นในการลบรายการ ""%1"""
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","ต้องกำหนดเอนทิตีนี้ให้กับมุมมองร้านค้า ตรวจสอบการกำหนดเอนทิตีและลองอีกครั้ง"
"Orders can only be completed in an active store. Verify the store and try again.","คำสั่งซื้อสามารถทำได้ในร้านค้าที่ใช้งานอยู่เท่านั้น ตรวจสอบร้านค้าและลองอีกครั้ง"
"This item needs to be assigned to a store view. Assign item and try again.","ต้องกำหนดรายการนี้ให้กับมุมมองร้านค้า กำหนดรายการแล้วลองอีกครั้ง"
"More permissions are needed to save this item.","ต้องการการอนุญาตเพิ่มเติมเพื่อบันทึกรายการนี้"
"More permissions are needed to delete this item.","ต้องการการอนุญาตเพิ่มเติมเพื่อลบรายการนี้"
"More permissions are needed to view this item.","ต้องมีสิทธิ์เพิ่มขึ้นในการที่จะเปิดดูรายการนี้"
"At least one website or store group needs to be selected. Select and try again.","ต้องเลือกเว็บไซต์หรือกลุ่มร้านค้าอย่างน้อยหนึ่งรายการ เลือกแล้วลองอีกครั้ง"
"More permissions are needed to set All Scopes to a Role.","จำเป็นต้องมีการอนุญาตเพิ่มเติมเพื่อตั้งค่าขอบเขตทั้งหมดเป็นบทบาท"
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","รหัสเว็บไซต์ ""%1"" ไม่ถูกต้อง ยืนยันรหัสเว็บไซต์แล้วลองอีกครั้ง"
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","รหัสร้านค้า ""%1"" ไม่ถูกต้อง ยืนยันรหัสร้านค้าแล้วลองอีกครั้ง"
"More permissions are needed to save this setting.","ต้องการการอนุญาตเพิ่มเติมเพื่อบันทึกการตั้งค่านี้"
