"All","Kõik"
"None","Puudub"
"Allowed Scopes","Lubatud ulatused"
"You need more permissions to delete this item(s): %1.","Vajate rohkem õiguseid, et seda üksust kustutada: %1."
"You need more permissions to apply some of the rule updates.","Vajate rohkem õiguseid, et osasid uuendusi rakendada."
"Please assign this entity to a store view.","Palun määrata selle olemi poe vaade."
"You can create orders only in an active store.","Tellimusi saate luua ainult aktiivses poes."
"Please assign this item to a store view.","Palun määrata selle olemi poe vaade."
"You need more permissions to save this item.","Vajate rohkem õiguseid, et seda üksust salvestada."
"You need more permissions to delete this item.","Vajate rohkem õiguseid, et seda üksust kustutada."
"You need more permissions to view this item.","Vajate rohkem õiguseid, et seda üksust vaadata."
"Please specify at least one website or one store group.","Palun määrake vähemalt üks sait või poe-grupp."
"You need more permissions to set All Scopes to a Role.","Vajate rohkem õigusi, et anda rollile kõiki õiguseid."
"Incorrect website ID: %1","Vale Veebilehe ID: %1"
"You need more permissions to access website ""%1"".","Vajate rohkem õiguseid, et seda lehte ""%1"" vaadata."
"Incorrect store ID: %1","Vale poe ID: %1"
"You need more permissions to save this setting.","Vajate rohkem õiguseid, et seda sätet salvestada."
"Role Scopes","Rolli ulatused"
"Custom","Kohandatud"
"More permissions are needed to save this item.","More permissions are needed to save this item."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
