"All","Sve"
"None","Ništa"
"Allowed Scopes","Dozvoljena stanja"
"More permissions are needed to delete the ""%1"" item.","Potrebno je više dozvola da biste obrisali stavku ""%1”."
"You need more permissions to apply some of the rule updates.","Potrebne su Vam dozvole višeg nivoa da primenite neku od pravila dopune."
"More permissions are needed to view this item.","Potrebno je više dozvola da biste videli ovu stavku."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Ovaj entitet mora biti dodeljen prikazu prodavnice. Proverite kome je dodeljen entitet i pokušajte ponovo."
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","Potrebno je dodati ovu stavku prikazu prodavnice. Molimo odaberite internet lokaciju za ovaj proizvod u ""Proizvod u internet lokaciji""."
"Orders can only be completed in an active store. Verify the store and try again.","Porudžbine mogu biti izvršene samo u aktivnoj prodavnici. Proverite prodavnicu i pokušajte ponovo."
"This item needs to be assigned to a store view. Assign item and try again.","Ovaj artikal mora biti dodeljen prikazu prodavnice. Dodelite artikal i pokušajte ponovo."
"More permissions are needed to save this item.","Treba vam više dozvola da biste sačuvali ovaj artikal."
"More permissions are needed to delete this item.","Potrebno je više dozvola da biste obrisali ovu stavku."
"Not allowed to edit the category's design attributes","Nisu dozvoljene izmene u kategoriji dizajn atributi"
"At least one website or store group needs to be selected. Select and try again.","Barem jedan vebsajt ili grupa prodavnica mora biti izabrana. Izaberite i pokušajte ponovo."
"More permissions are needed to set All Scopes to a Role.","Potrebno je više dozvola da biste postavili sve opsege na Ulogu."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" ID vebsajta je neispravan. Proverite ID vebsajta i pokušajte ponovo."
"You need more permissions to access website ""%1"".","Potrebne su Vam više dozvole da pristupite websajtu ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" ID prodavnice je neispravan. Proverite ID prodavnice i pokušajte ponovo."
"More permissions are needed to save this setting.","Potrebno je više dozvola da biste sačuvali ovo podešavanje."
"Role Scopes","Sve Oblasti"
"Custom","Izborno"
