"Invitations","Kutsut"
"Add Invitations","Lisää kutsuja"
"New Invitations","Uudet kutsut"
"Invitations Information","Kutsujen tiedot"
"Enter Each Email on New Line","Syötä jokainen sähköposti uudelle riville"
"Message","Viesti"
"Send From","Send From"
"Invitee Group","Invitee Group"
"Reset","Tyhjennä"
"Save","Tallenna"
"View Invitation for %1 (ID: %2)","View Invitation for %1 (ID: %2)"
"Back","Takaisin"
"Discard Invitation","Discard Invitation"
"Are you sure you want to discard this invitation?","Are you sure you want to discard this invitation?"
"Save Invitation","Tallenna kutsu"
"Send Invitation","Lähetä kutsu"
"General","Yleiset"
"Default from System Configuration","Default from System Configuration"
"N/A","Ei tietoa"
"Status History","Status History"
"Customers","Asiakkaat"
"Order Conversion Rate","Order Conversion Rate"
"We can't find this invitation.","We can't find this invitation."
"Please select invitations.","Please select invitations."
"We discarded %1 of %2 invitations.","We discarded %1 of %2 invitations."
"We skipped %1 of the selected invitations.","We skipped %1 of the selected invitations."
"Something went wrong while sending invitations.","Something went wrong while sending invitations."
"No invitations have been resent.","No invitations have been resent."
"You sent %1 of %2 invitation(s).","You sent %1 of %2 invitation(s)."
"Something went wrong while sending %1 invitations.","Something went wrong while sending %1 invitations."
"We discarded %1 invitation(s) addressed to current customers.","We discarded %1 invitation(s) addressed to current customers."
"Please specify at least one email address.","Please specify at least one email address."
"We sent %1 invitation(s).","%1 kutsu(a) lähetettiin."
"Something went wrong while sending %1 of %2 invitations.","Something went wrong while sending %1 of %2 invitations."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 invitation(s) were not sent, because customer accounts already exist for these email addresses."
"The invitation has been saved.","The invitation has been saved."
"Reports","Raportit"
"Invitation Report by Customers","Invitation Report by Customers"
"Invited Customers Report","Invited Customers Report"
"General Report","General Report"
"Invitations Report","Invitations Report"
"Invitation Report by Order Conversion Rate","Invitation Report by Order Conversion Rate"
"Conversion Rate Report","Conversion Rate Report"
"The wrong customer account is specified.","The wrong customer account is specified."
"Please enter a correct confirmation key.","Please enter a correct confirmation key."
"Bad request.","Virheellinen pyyntö."
"Your invitation is not valid. Please create an account.","Your invitation is not valid. Please create an account."
