"503 Service Unavailable","503 Palvelu ei saatavilla"
"200 OK","200 OK"
"Website Closed","Sivusto suljettu"
"Private Sales: Login Only","Private Sales: Login Only"
"Private Sales: Login and Register","Private Sales: Login and Register"
"To login form (302 Found)","To login form (302 Found)"
"To landing page (302 Found)","Aloitussivulle (302 kohde löytyi)"
"Can not register new customer due to restrictions are enabled.","Uutta asiakasta ei voi rekisteröidä käytössä olevien rajoitteiden vuoksi."
"Access Restriction","Access Restriction"
"Restriction Mode","Restriction Mode"
"Startup Page","Aloitussivu"
"Applicable only if restriction mode is set to ""Private Sales"".","Applicable only if restriction mode is set to ""Private Sales""."
"Landing Page","Aloitussivu"
"HTTP Response","HTTP-vastaus"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML."
