"503 Service Unavailable","503 השירות אינו זמין"
"200 OK","200 זמין"
"Website Closed","האתר סגור"
"Private Sales: Login Only","מכירות פרטיות: התחברות בלבד"
"Private Sales: Login and Register","מכירות פרטיות: התחברות והרשמה בלבד"
"To login form (302 Found)","כניסה לטופס התחברות(302 נמצא)"
"To landing page (302 Found)","כניסה לעמוד נחיתה(302 נמצא)"
"Can not register new customer due to restrictions are enabled.","Can not register new customer due to restrictions are enabled."
"Access Restriction","הגבלת גישה"
"Restriction Mode","מצב מוגבל"
"Startup Page","דף הפעלה"
"Applicable only if restriction mode is set to ""Private Sales"".","רלוונטי רק אם הגבלה מוגדר ל- ""מכירות פרטיות""."
"Landing Page","עמוד נחיתה"
"HTTP Response","תגובת HTTP"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","רלוונטי רק אם הגבלה מוגדר ל- ""אתר סגור"". עיבוד הדף נחיתה כ- HTML טהור."
