"503 Service Unavailable","503 サービス利用不可"
"200 OK","200 OK"
"Website Closed","ウェブサイトクローズド"
"Private Sales: Login Only","プライベートセール: ログインのみ"
"Private Sales: Login and Register","プライベートセール: ログインと新規登録"
"To login form (302 Found)","ログインフォームへ (302 Found)"
"To landing page (302 Found)","ランディングページへ (302 Found)"
"Can not register new customer due to restrictions are enabled.","制限が有効なため、新規顧客を登録できません。"
"Access Restriction","アクセス制限"
"Restriction Mode","制限モード"
"Startup Page","開始ページ"
"Applicable only if restriction mode is set to ""Private Sales"".","制限モードが""プライベートセールス""に設定されている場合にのみ適用されます。"
"Landing Page","ランディングページ"
"HTTP Response","HTTPレスポンス"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","制限モードが ""ウェブサイト閉鎖""に設定されている場合のみ適用されます。ランディングページは生のHTMLとしてレンダリングされます。"
