"503 Service Unavailable","503 Сервис недоступен"
"200 OK","200 OK"
"Website Closed","Веб-сайт закрыт"
"Private Sales: Login Only","Private Sales: Login Only"
"Private Sales: Login and Register","Private Sales: Login and Register"
"To login form (302 Found)","К форме входа (найдена 302 ошибка)"
"To landing page (302 Found)","К стартовой странице (найдена 302 ошибка)"
"Can not register new customer due to restrictions are enabled.","Can not register new customer due to restrictions are enabled."
"Access Restriction","Ограничение доступа"
"Restriction Mode","Ограниченый режим"
"Startup Page","Стартовая страница"
"Applicable only if restriction mode is set to ""Private Sales"".","Применимо, только если установлен режим ограничения «Частные продажи»."
"Landing Page","Стартовая страница"
"HTTP Response","HTTP-ответ"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Применимо, только если установлен режим ограничения «Веб-сайт закрыт». На странице отображается как необработанный HTML."
