"503 Service Unavailable","503 Hizmet kullanılamıyor"
"200 OK","200 Tamam"
"Website Closed","Web Site Kapalı"
"Private Sales: Login Only","Özel Satışlar: Giriş Sadece"
"Private Sales: Login and Register","Özel Satışlar: Giriş ve Kayıt"
"To login form (302 Found)","Giriş formu (302 Found)"
"To landing page (302 Found)","To landing page (302 Found)"
"Can not register new customer due to restrictions are enabled.","Kısıtlamalar etkin olduğundan yeni kullanıcı kaydı yapılamıyor."
"Access Restriction","Erişimi kısıtlama"
"Restriction Mode","Kısıtlama Modu"
"Startup Page","Başlangıç Sayfası"
"Applicable only if restriction mode is set to ""Private Sales"".","Kısıtlama modu yalnızca ""Özel Satışlar"" olarak ayarlanırsa geçerlidir."
"Landing Page","Açılış sayfası"
"HTTP Response","HTTP Cevap"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Kısıtlama modu yalnızca ""Web Sitesi Kapatıldı"" olarak ayarlanmışsa geçerlidir. Açılış sayfası 	işlem görmemiş HTML olarak işlenir."
