"503 Service Unavailable","503 Service non disponible"
"200 OK","200 OK"
"Website Closed","Site fermé"
"Private Sales: Login Only","Ventes privées : utilisateurs connectés uniquement"
"Private Sales: Login and Register","Ventes privées : Connexion et inscription"
"To login form (302 Found)","Au formulaire de connexion (302 Found)"
"To landing page (302 Found)","À la page de destination (302 Found)"
"Can not register new customer due to restrictions are enabled.","Impossible d'enregistrer un nouveau client en raison des restrictions sont activées."
"Access Restriction","Restriction d’accès"
"Restriction Mode","Mode de restriction"
"Startup Page","Page de démarrage"
"Applicable only if restriction mode is set to ""Private Sales"".","Applicable uniquement si la restriction est réglée sur « Ventes privées »."
"Landing Page","Page de destination"
"HTTP Response","Réponse HTTP"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Applicable uniquement si la restriction est réglée sur « Site fermé ». La page d’atterrissage est restituée en HTML brut."
