"503 Service Unavailable","503 dienst onbeschikbaar"
"200 OK","200 OK"
"Website Closed","Website gesloten"
"Private Sales: Login Only","Privé verkoop: allleen inloggen"
"Private Sales: Login and Register","Privé verkoop: login en registreer"
"To login form (302 Found)","Naar login-formulier (302 gevonden)"
"To landing page (302 Found)","Naar landingspagina (302 gevonden)"
"Can not register new customer due to restrictions are enabled.","Kan nieuwe klant niet registreren vanwege beperkingen die zijn ingeschakeld."
"Access Restriction","Toegangsrestrictie"
"Restriction Mode","Restrictie modus"
"Startup Page","Startpagina"
"Applicable only if restriction mode is set to ""Private Sales"".","Alleen van toepassing als de beperkingsmodus is ingesteld op 'Privé verkoop'."
"Landing Page","Landings Pagina"
"HTTP Response","HTTP antwoord"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Alleen van toepassing als de beperking modus is ingesteld op 'Website gesloten'. De landingspagina wordt weergegeven als HTML."
