"503 Service Unavailable","503 Servicio no disponible"
"200 OK","200 OK"
"Website Closed","Sitio web cerrado"
"Private Sales: Login Only","Ventas privadas: Inicio de sesión sólo"
"Private Sales: Login and Register","Ventas privadas: Inicio de sesión y registro"
"To login form (302 Found)","A formulario de login (302 Found)"
"To landing page (302 Found)","A la página de aterrizaje (302 Found)"
"Can not register new customer due to restrictions are enabled.","No se puede registrar un cliente nuevo debido a que las restricciones están habilitadas."
"Access Restriction","Restricción de acceso"
"Restriction Mode","Modo de restricción"
"Startup Page","Página de inicio"
"Applicable only if restriction mode is set to ""Private Sales"".","Aplicable sólo si el modo de restricción se establece en ""Ventas privadas""."
"Landing Page","Página de destino"
"HTTP Response","Respuesta HTTP"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Aplicable sólo si el modo de restricción está configurado como ""Página web cerrada"". La página de inicio se representa como HTML crudo."
