"503 Service Unavailable","503 ಸೇವೆಯು ಲಭ್ಯವಿಲ್ಲ"
"200 OK","200 OK"
"Website Closed","ಜಾಲತಾಣ ಮುಚ್ಚಿದೆ"
"Private Sales: Login Only","ಖಾಸಗಿ ಮಾರಾಟ: ಲಾಗಿನ್ ಮಾತ್ರ"
"Private Sales: Login and Register","ಖಾಸಗಿ ಮಾರಾಟ: ಲಾಗಿನ್ ಮತ್ತು ನೋಂದಾವಣೆ"
"To login form (302 Found)","To login form (302 Found)"
"To landing page (302 Found)","To landing page (302 Found)"
"Can not register new customer due to restrictions are enabled.","Can not register new customer due to restrictions are enabled."
"Access Restriction","ಪ್ರವೇಶ ನಿರ್ಬಂಧ"
"Restriction Mode","Restriction Mode"
"Startup Page","Startup Page"
"Applicable only if restriction mode is set to ""Private Sales"".","Applicable only if restriction mode is set to ""Private Sales""."
"Landing Page","ನೆಲೆದಾಣ ಪುಟ"
"HTTP Response","HTTP Response"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML."
