"503 Service Unavailable","503 servizio non disponibile"
"200 OK","200 OK"
"Website Closed","Sito chiuso"
"Private Sales: Login Only","Vendite private: Solo login"
"Private Sales: Login and Register","Vendite private: Login e Registrazione"
"To login form (302 Found)","Al form di login (302 trovato)"
"To landing page (302 Found)","Alla landing page (302 trovato)"
"Can not register new customer due to restrictions are enabled.","Impossibile registrare un nuovo cliente a causa di restrizioni abilitate."
"Access Restriction","Restrizione dell'accesso"
"Restriction Mode","Modalità di restrizione"
"Startup Page","Pagina di avvio"
"Applicable only if restriction mode is set to ""Private Sales"".","Applicabile solo se la modalità di restrizione è impostata su ""Vendite Private""."
"Landing Page","Landing Page"
"HTTP Response","Risposta HTTP"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Applicabile solo se la modalità di restrizione è impostato su ""Website chiuso"". La pagina di destinazione verrà renderizzata come HTML non elaborato."
