"503 Service Unavailable","503 Teenus pole saadaval"
"200 OK","200 OK"
"Website Closed","Website Closed"
"Private Sales: Login Only","Isiklik müük: Ainult sisselogitult"
"Private Sales: Login and Register","Privaatne müük: Login ja Registreerumine"
"To login form (302 Found)","To login form (302 Found)"
"To landing page (302 Found)","To landing page (302 Found)"
"Can not register new customer due to restrictions are enabled.","Can not register new customer due to restrictions are enabled."
"Access Restriction","Access Restriction"
"Restriction Mode","Restriction Mode"
"Startup Page","Avaleht"
"Applicable only if restriction mode is set to ""Private Sales"".","Applicable only if restriction mode is set to ""Private Sales""."
"Landing Page","Maandusmisleht"
"HTTP Response","HTTP Response"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML."
