"503 Service Unavailable","503 Usługa niedostępna"
"200 OK","200 OK"
"Website Closed","Strona zamknięta"
"Private Sales: Login Only","Sprzedaż prywatna: tylko dla zalogowanych"
"Private Sales: Login and Register","Sprzedaż prywatna: zarejestruj i zaloguj się"
"To login form (302 Found)","Przekierowanie do strony logowania (HTTP 302 Found)"
"To landing page (302 Found)","Przekierowanie na stronę docelową (HTTP 302 Found)"
"Can not register new customer due to restrictions are enabled.","Nie może zarejestrować nowego klienta z powodu włączonych ograniczeń."
"Access Restriction","Ograniczenie dostępu"
"Restriction Mode","Tryb ograniczony"
"Startup Page","Strona startowa"
"Applicable only if restriction mode is set to ""Private Sales"".","Stosowane tylko, jeśli tryb ograniczeń jest ustawiony na ""Sprzedaż prywatna""."
"Landing Page","Strona docelowa"
"HTTP Response","Odpowiedź HTTP"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Stosowane tylko, jeśli tryb ograniczeń jest ustawiony na ""Strona zamknięta"". Strona docelowa jest renderowana jako czysty HTML."
