"503 Service Unavailable","503 Serviço Indisponível"
"200 OK","200 OK"
"Website Closed","Website fechado"
"Private Sales: Login Only","Vendas Privadas: Apenas com sessão iniciada"
"Private Sales: Login and Register","Vendas Privadas: pode Iniciar Sessão ou Registar-se"
"To login form (302 Found)","Para o formulário de login (302 Found)"
"To landing page (302 Found)","Para a página de destino (302 Found)"
"Can not register new customer due to restrictions are enabled.","O registo de novos clientes está restrito."
"Access Restriction","Restrição de Acesso"
"Restriction Mode","Modo de Restrição"
"Startup Page","Página Inicial"
"Applicable only if restriction mode is set to ""Private Sales"".","Aplicável apenas se o modo de restrição está definido como ""Vendas Privadas""."
"Landing Page","Página de Destino"
"HTTP Response","Resposta HTTP"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Aplicável apenas se o modo de restrição está definido como ""Site Fechado"". A página de destino é processada como HTML."
