"503 Service Unavailable","Webseite nicht verfügbar"
"200 OK","200 OK"
"Website Closed","Webseite geschlossen"
"Private Sales: Login Only","Privatverkäufe: Login erforderlich"
"Private Sales: Login and Register","Privatverkauf: Anmelden und Registrieren"
"To login form (302 Found)","Zum Login-Formular (302 Found)"
"To landing page (302 Found)","Zur Landing-Page (302 Found)"
"Can not register new customer due to restrictions are enabled.","Der neue Kunde kann aufgrund von Einschränkungen nicht registriert werden."
"Access Restriction","Zugriffsbeschränkung"
"Restriction Mode","Einschränkungsmodus"
"Startup Page","Startseite"
"Applicable only if restriction mode is set to ""Private Sales"".","Nur anwendbar, wenn Beschränkungsmodus auf ""Private Sales"" gesetzt ist."
"Landing Page","Landing-Page"
"HTTP Response","HTTP-Antwort"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Nur anwendbar, wenn Einschränkungsmodus auf ""Webseite geschlossen"" gesetzt ist. Die Landing-Page wird als einfaches HTML wiedergegeben."
