"503 Service Unavailable","503 Serviss nav pieejams"
"200 OK","200 OK"
"Website Closed","Lapa ir slēgta"
"Private Sales: Login Only","Privātā pārdošana: tikai pieslēdzoties"
"Private Sales: Login and Register","Privātā pārdošana: reģistrēties un pieslēgties"
"To login form (302 Found)","Uz pieslēgšanās lapu (302 atrasts)"
"To landing page (302 Found)","Uz piezemēšanās lapu (302 atrasts)"
"Can not register new customer due to restrictions are enabled.","Can not register new customer due to restrictions are enabled."
"Access Restriction","Piekļuves liegumi"
"Restriction Mode","Liegtas piekļuves režīms"
"Startup Page","Sākuma lapa"
"Applicable only if restriction mode is set to ""Private Sales"".","Pieejams tikai ja liegtas piekļuves režīms iestatīts uz ""Privātā pārdošana""."
"Landing Page","Piezemēšanās lapa"
"HTTP Response","HTTP atbilde"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Pieejams tikai ja liegtas piekļuves režīms iestatīts uz ""Lapa ir slēgta"". Nolaišanās lapa tiek rādīta kā neformatēts HTML."
