"503 Service Unavailable","503 utilgjengelig tjeneste"
"200 OK","200 OK"
"Website Closed","Nettstedet er stengt"
"Private Sales: Login Only","Private salg: Bare innlogging"
"Private Sales: Login and Register","Private salg: Logg inn og registrering"
"To login form (302 Found)","To login form (302 Found)"
"To landing page (302 Found)","Til destinasjonssiden (302 funnet)"
"Can not register new customer due to restrictions are enabled.","Can not register new customer due to restrictions are enabled."
"Access Restriction","Adgangsbegrensning"
"Restriction Mode","Restriction Mode"
"Startup Page","Startsiden"
"Applicable only if restriction mode is set to ""Private Sales"".","Gjelder bare hvis begrensningen er satt til ""Privatsalg""."
"Landing Page","Startsiden"
"HTTP Response","HTTP-respons"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML."
