"503 Service Unavailable","503 Serviço Indisponível"
"200 OK","200 OK"
"Website Closed","Website fechado"
"Private Sales: Login Only","Vendas Privadas: Somente com Login"
"Private Sales: Login and Register","Vendas Privadas: Entrar e Registrar"
"To login form (302 Found)","Para o formulário de login (302 Found)"
"To landing page (302 Found)","Para a página de destino (302 Encontrado)"
"Can not register new customer due to restrictions are enabled.","Não é possível registrar novo cliente devido à restrições habilitadas."
"Access Restriction","Restrição de acesso"
"Restriction Mode","Modo de Restrição"
"Startup Page","Página Inicial"
"Applicable only if restriction mode is set to ""Private Sales"".","Aplicável somente se o modo de restrição estiver definido como ""Vendas Privadas""."
"Landing Page","Página de Destino ( Landing Page )"
"HTTP Response","Resposta HTTP"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Aplicável apenas se o modo de restrição está definido como ""Site Fechado"". A página de destino é processada como HTML."
