"503 Service Unavailable","الخدمة غير متوفرة"
"200 OK","200 OK"
"Website Closed","الموقع مغلق"
"Private Sales: Login Only","المبيعات الخاص: تسجيل الدخول فقط"
"Private Sales: Login and Register","المبيعات الخاصة: تسجيل الدخول و التسجيل"
"To login form (302 Found)","إلى نموذج تسجيل الدخول (302 تم العثور عليه)"
"To landing page (302 Found)","إلى الصفحة المقصودة (302 تم العثور عليه)"
"Can not register new customer due to restrictions are enabled.","Can not register new customer due to restrictions are enabled."
"Access Restriction","تقييد الوصول"
"Restriction Mode","وضع مقيد"
"Startup Page","صفحة بدء التشغيل"
"Applicable only if restriction mode is set to ""Private Sales"".","قابل للتطبيق فقط إذا تم تعيين وضع قيود على ""المبيعات الخاصة""."
"Landing Page","الصفحة المقصودة"
"HTTP Response","استجابة HTTP"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","قابل للتطبيق فقط إذا تم تعيين وضع قيود على ""إغلاق الموقع"". يتم عرض الصفحة المقصودة ك HTML الخام."
