"Dynamic Blocks","Bloques Dinámicos"
"Add Dynamic Block","Añadir Bloque Dinámico"
"Save Dynamic Block","Guardar Bloque Dinámico"
"Delete Dynamic Block","Eliminar Bloque Dinámico"
"Save and Continue Edit","Guardar y continuar editando"
"New Dynamic Block","Nuevo Bloque Dinámico"
"Delete","Eliminar"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Reset","Restablecer"
"Save","Guardar"
"Content","Contenido"
"Default Content","Contenido por defecto"
"No Default Content","No hay contenido por defecto"
"Dynamic Block Default Content for All Store Views","Contenido por defecto de bloque dinámico para todas las vistas de tienda"
"Store View Specific Content","Contenido específico de las vistas de tienda"
"Use Default","Usar predeterminado"
"Related Promotions","Promociones relacionadas"
"ID","Número de Identificación (ID)"
"Rule","Regla"
"Start Date","Fecha de inicio"
"End Date","Fecha de finalización"
"Status","Estado"
"Dynamic Block Properties","Propiedades del Bloque Dinámico"
"Dynamic Block Name","Nombre del Bloque Dinámico"
"Active","Activo"
"Inactive","Inactivo"
"Applies To","Se aplica a"
"Any Dynamic Block Type","Cualquier Tipo de Bloque Dinámico"
"Specified Dynamic Block Types","Tipos de Bloque Dinámico Especificados"
"Specify Types","Especificar los tipos"
"Dynamic Block Information","Información de Bloque Dinámico"
"Dynamic Block","Bloque Dinámico"
"Dynamic Block Type","Tipo de Bloque Dinámico"
"Are you sure you want to delete these dynamic blocks?","¿Está seguro de que desea eliminar estos bloques dinámicos?"
"Related Dynamic Blocks","Bloques Dinámicos Relacionados"
"Position","Destacados"
"This rule no longer exists.","Esta regla ya no existe."
"You deleted the dynamic block.","Ha eliminado el bloque dinámico."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Algo ha salido mal mientras se eliminaban los datos del bloque dinámico. Por favor, revise el registro de acción e intente de nuevo."
"We cannot find a dynamic block to delete.","No hemos podido encontrar un bloque dinámico para eliminar."
"This dynamic block no longer exists.","Este bloque dinámico ya no existe."
"Edit Dynamic Block","Editar Bloque Dinámico"
"Please select a dynamic block(s).","Por favor selecciones un(os) bloque dinámico."
"You deleted %1 record(s).","Se eliminaron %1 registro(s)."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Algo ha salido mal mientras se eliminaban bloques dinámicos en masa. Por favor, revise el registro de acciones e intente de nuevo."
"This dynamic block does not exist.","Este bloque dinámico no existe."
"You saved the dynamic block.","Ha guardado el bloque dinñamico."
"We cannot save the dynamic block.","No podemos guardar el bloque dinámico."
"Invalid Request","Invalid Request"
"Please enter a name.","Por favor, introduzca un nombre."
"Content includes restricted HTML elements. %1","Content includes restricted HTML elements. %1"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Make sure that dynamic blocks rotator does not reference the dynamic block itself."
"-- None --","-- Ninguno --"
"Error","Error"
"Invalid content","Invalid content"
"Content Area","Área de contenido"
"Footer","Pie de página"
"Header","Encabezado"
"Left Column","Columna izquierda"
"Right Column","Columna derecha"
"Manage Dynamic Blocks","Administrar Bloques Dinámicos"
"Dynamic Blocks Rotator","Rotor de Bloques Dinámicos"
"Displays Specified or Promotion Dynamic Blocks","Muestra Bloques Dinámicos Especificados o de Promoción"
"Dynamic Blocks to Display","Bloques Dinámicos a Mostrar"
"Specified Dynamic Blocks","Bloques Dinámicos Especificados"
"Cart Price Rule Related","Relacionado con Regla de Precio de Carrito"
"Catalog Price Rule Related","Relacionado con Regla de Precio de Catálogo"
"Restrict by Dynamic Block Types","Restringir por Tipos de Bloques Dinámicos"
"Rotation Mode","Modo rotación"
"Display all instead of rotating","Mostrar todo en lugar de rotar"
"One at the time, Random","Uno a la vez, al azar"
"One at the time, Series","Uno a la vez, serie"
"One at the time, Shuffle","Uno a la vez, barajadas"
"Specify Dynamic Blocks","Especificar Bloques Dinámicos"
"Dynamic Block Template","Dynamic Block Template"
"Dynamic Block Inline Template","Plantilla de Bloque Dinámico en Línea"
"Name","Name"
"Status Label","Status Label"
"General Information","General Information"
"Back","Back"
"Enable Dynamic Block","Enable Dynamic Block"
"Use Default Value","Use Default Value"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Cart price rules allows you to setup promotions for items that are in the shopping cart."
"Add Cart Price Rules","Add Cart Price Rules"
"Related Catalog Price Rule","Related Catalog Price Rule"
"Catalog price rules allows you to setup promotions for an items in catalog.","Catalog price rules allows you to setup promotions for an items in catalog."
"Cancel","Cancel"
"Add Selected","Add Selected"
"Visibility","Visibilidad"
