"Dynamic Blocks","Dinamikus blokkok"
"Add Dynamic Block","Dinamikus blokk hozzáadása"
"Save Dynamic Block","Dinamikus blokk mentése"
"Delete Dynamic Block","Dinamikus blokk törlése"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"New Dynamic Block","Új Dinamikus blokk"
"Delete","Törlés"
"Are you sure you want to do this?","Biztos benne, hogy végrehajtja a műveletet?"
"Reset","Visszaállítás"
"Save","Mentés"
"Content","Tartalom"
"Default Content","Alapértelmezett tartalom"
"No Default Content","Nincs alapértelmezett tartalom"
"Dynamic Block Default Content for All Store Views","Dinamikus blokk alapértelmezett tartalma a minden bolt nézethez"
"Store View Specific Content","Bolt nézet specifikus tartalom"
"Use Default","Alapértelmezés használata"
"Related Promotions","Kapcsolódó akciók"
"ID","Azonosító"
"Rule","Szabály"
"Start Date","Kezdő dátum"
"End Date","Záró dátum"
"Status","Állapot"
"Dynamic Block Properties","Dinamikus blokk tulajdonságok"
"Dynamic Block Name","Dinamikus blokk neve"
"Active","Aktív"
"Inactive","Inaktív"
"Applies To","Vonatkozik"
"Any Dynamic Block Type","Bármilyen dinamikus blokk típus"
"Specified Dynamic Block Types","Meghatározott dinamikus blokk típus"
"Specify Types","Típusok megadása"
"Dynamic Block Information","Dinamikus blokk információ"
"Dynamic Block","Dinamikus blokk"
"Dynamic Block Type","Dinamikus blokk típusa"
"Are you sure you want to delete these dynamic blocks?","Biztos benne, hogy törölni akarja ezeket a dinamikus blokkokat?"
"Related Dynamic Blocks","Kapcsolódó dinamikus blokkok"
"Position","Pozició"
"This rule no longer exists.","Ez a szabály már nem létezik."
"You deleted the dynamic block.","Dinamikus blokk törölve."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Valami nem sikerült a dinamikus blokk adatainak törlésekor. Kérjük nézze át a tevékenységnaplót, és próbálja újra."
"We cannot find a dynamic block to delete.","A törlendő dinamikus blokk nem található."
"This dynamic block no longer exists.","Ez a dinamikus blokk már nem létezik."
"Edit Dynamic Block","Dinamikus blokk szerkesztése"
"Please select a dynamic block(s).","Kérjük, válasszon egy dinamikus blokkot."
"You deleted %1 record(s).","%1 rekord törölve."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Valami nem sikerült a dinamikus blokkok tömeges törlésekor. Kérjük nézze át a tevékenységnaplót, és próbálja újra."
"This dynamic block does not exist.","Ez a dinamikus blokk nem létezik."
"You saved the dynamic block.","Dinamikus blokk elmentve."
"We cannot save the dynamic block.","Nem lehet menteni a Dinamikus blokkot."
"Invalid Request","Érvénytelen kérés"
"Please enter a name.","Írjon be egy nevet."
"Content includes restricted HTML elements. %1","Tiltott HTML elemeket tartalmaz. %1"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Győződjön meg arról, hogy a dinamikus blokk forgató nem hivatkozik a blokkra magára."
"-- None --","--Nincs--"
"Error","Hiba"
"Invalid content","Érvénytelen tartalom"
"Content Area","Tartalmi rész"
"Footer","Lábléc"
"Header","Fejléc"
"Left Column","Bal oldali oszlop"
"Right Column","Jobb oldali oszlop"
"Manage Dynamic Blocks","Dinamikus blokkok kezelése"
"Dynamic Blocks Rotator","Dinamikus blokkok forgató"
"Displays Specified or Promotion Dynamic Blocks","Megjeleníti a megadott vagy az akciós dinamikus blokkokat"
"Dynamic Blocks to Display","Megjelenítendő dinamikus blokkok"
"Specified Dynamic Blocks","Meghatározott dinamikus blokkok"
"Cart Price Rule Related","Kosár ár szabályhoz kapcsolódik"
"Catalog Price Rule Related","Katalógus árszabályhoz kapcsolódik"
"Restrict by Dynamic Block Types","Dinamikus blokk ok tiltása típusuk szerint"
"Rotation Mode","Forgatás mód"
"Display all instead of rotating","Mind megjelenítése a forgatás helyett"
"One at the time, Random","Egyszerre egyet, véletlenszerűen"
"One at the time, Series","Egyszerre egyet, sorban"
"One at the time, Shuffle","Egyszerre egyet, keverve"
"Specify Dynamic Blocks","Dinamikus blokkok meghatározása"
"Dynamic Block Template","Dinamikus blokk sablon"
"Dynamic Block Inline Template","Dinamikus blokk Inline sablon"
"Name","Név"
"Status Label","Státusz címke"
"General Information","Általános információ"
"Back","Vissza"
"Enable Dynamic Block","Dinamikus blokk bekapcsolása"
"Use Default Value","Alapértelmezett érték használata"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Kosár ár szabályok lehetővé teszik, hogy beállítson promóciók a kosárban található cikkekhez."
"Add Cart Price Rules","Kosár ár szabályok hozzáadása"
"Related Catalog Price Rule","Kapcsolódó katalógus ár szabály"
"Catalog price rules allows you to setup promotions for an items in catalog.","Katalógus ár szabályok lehetővé teszik, hogy beállítson akciókat termékekhez."
"Cancel","Mégsem"
"Add Selected","Kijelölt(ek) hozzáadása"
"Visibility","Láthatóság"
