"Banners","Баннеры"
"Add Banner","Добавить баннер"
"Save Banner","Сохранить баннер"
"Delete Banner","Удалить баннер"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"New Banner","Новый баннер"
"Content","Контент"
"Default Content","Контент по умолчанию"
"No Default Content","Нет контента по умолчанию"
"Banner Default Content for All Store Views","Banner Default Content for All Store Views"
"Store View Specific Content","Конкретный контент представления магазина"
"Use Default","Использовать значение по умолчанию"
"Related Promotions","Похожие акции"
"ID","Идентификатор"
"Rule","Правило"
"Start Date","Дата начала"
"End Date","Дата окончания"
"Status","Статус"
"Banner Properties","Banner Properties"
"Banner Name","Название баннера"
"Active","Активный"
"Inactive","Неактивный"
"Applies To","Применить к"
"Any Banner Type","Любой тип баннера"
"Specified Banner Types","Указанные типы баннера"
"Specify Types","Укажите типы"
"Banner Information","Информация баннера"
"Banner","Баннер"
"Banner Type","Тип баннера"
"Visibility","Видимость"
"Delete","Удалить"
"Are you sure you want to delete these banners?","Are you sure you want to delete these banners?"
"Related Banners","Related Banners"
"Position","Позиция"
"This rule no longer exists.","Это правило не существует."
"This banner does not exist.","Этот баннер не существует."
"You deleted the banner.","Вы удалили баннер."
"Something went wrong while deleting banner data. Please review the action log and try again.","Something went wrong while deleting banner data. Please review the action log and try again."
"We cannot find a banner to delete.","We cannot find a banner to delete."
"This banner no longer exists.","This banner no longer exists."
"Edit Banner","Редактировать баннер"
"Please select a banner(s).","Пожалуйста, выберите баннер(ы)."
"You deleted %1 record(s).","Вы удалили %1 записи."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Something went wrong while mass-deleting banners. Please review the action log and try again."
"You saved the banner.","Вы сохранили баннер."
"We cannot save the banner.","Мы не можем сохранить баннер."
"Please enter a name.","Пожалуйста, введите имя."
"Please specify default content for at least one store view.","Please specify default content for at least one store view."
"-- None --","-- Нет --"
"Error","Ошибка"
"Related Cart Price Rules","Related Cart Price Rules"
"Related Catalog Price Rules","Related Catalog Price Rules"
"Content Area","Область содержимого"
"Footer","Нижний колонтитул"
"Header","Заголовок (header)"
"Left Column","Левая колонка"
"Right Column","Правая колонка"
"Manage Banners","Управление баннерами"
"Banner Rotator","Ротатор баннеров"
"Displays Specified or Promotion Banners","Displays Specified or Promotion Banners"
"Banners to Display","Banners to Display"
"Specified Banners","Указанные баннеры"
"Shopping Cart Promotions Related","Shopping Cart Promotions Related"
"Catalog Promotions Related","Catalog Promotions Related"
"Restrict by Banner Types","Restrict by Banner Types"
"Rotation Mode","Режим ротации"
"Display all instead of rotating","Отобразить все вместо ротации"
"One at the time, Random","Один, случайный"
"One at the time, Series","Один, Серия"
"One at the time, Shuffle","Один, Перемешано"
"Specify Banners","Укажите баннеры"
"Banner Block Template","Banner Block Template"
"Banner Inline Template","Banner Inline Template"
"Dynamic Blocks","Динамические блоки"
"Add Dynamic Block","Добавить динамический блок"
"Save Dynamic Block","Сохранить динамический блок"
"Delete Dynamic Block","Удалить динамический блок"
"New Dynamic Block","Новый динамический блок"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Reset","Сброс"
"Save","Сохранить"
"Dynamic Block Default Content for All Store Views","Содержимое динамической блокировки по умолчанию для всех магазина"
"Dynamic Block Properties","Свойства динамического блока"
"Dynamic Block Name","Название динамического блока"
"Any Dynamic Block Type","Любой тип динамического блока"
"Specified Dynamic Block Types","Определенные типы динамического блока"
"Dynamic Block Information","Информация о динамическом блоке"
"Dynamic Block","Динамический блок"
"Dynamic Block Type","Тип динамического блока"
"Are you sure you want to delete these dynamic blocks?","Вы уверены, что хотите удалить эти динамические блоки?"
"Related Dynamic Blocks","Связанные динамические блоки"
"You deleted the dynamic block.","Вы удалили динамический блок."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Что-то пошло не так при удалении динамического блока данных. Просмотрите журнал действий и повторите попытку."
"We cannot find a dynamic block to delete.","Мы не можем найти динамический блок для удаления."
"This dynamic block no longer exists.","Этот динамический блок больше не существует."
"Edit Dynamic Block","Редактировать динамический блок"
"Please select a dynamic block(s).","Пожалуйста, выберите динамический блок(и)."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Что-то пошло не так во время массового удаления активных блоков. Просмотрите журнал действий и повторите попытку."
"This dynamic block does not exist.","Этот динамический блок, не существует."
"You saved the dynamic block.","Вы сохранили динамический блок."
"We cannot save the dynamic block.","Мы не можем сохранить динамический блок."
"Manage Dynamic Blocks","Управление динамическими блоками"
"Dynamic Blocks Rotator","Ротатор активных блоков"
"Displays Specified or Promotion Dynamic Blocks","Отображает указанные или продвигаемые динамические блоки"
"Dynamic Blocks to Display","Динамические блоки для отображения"
"Specified Dynamic Blocks","Заданные Динамические блоки"
"Restrict by Dynamic Block Types","Ограничьте типы динамических блоков"
"Specify Dynamic Blocks","Укажите динамические блоки"
"Dynamic Block Template","Dynamic Block Template"
"Dynamic Block Inline Template","Шаблон встроенного динамического блока"
"Name","Name"
"Status Label","Status Label"
"General Information","General Information"
"Back","Назад"
"Enable Dynamic Block","Enable Dynamic Block"
"Use Default Value","Use Default Value"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Cart price rules allows you to setup promotions for items that are in the shopping cart."
"Add Cart Price Rules","Add Cart Price Rules"
"Related Catalog Price Rule","Related Catalog Price Rule"
"Catalog price rules allows you to setup promotions for an items in catalog.","Catalog price rules allows you to setup promotions for an items in catalog."
"Cancel","Cancel"
"Add Selected","Add Selected"
"Remove","Удалить"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Make sure that dynamic blocks rotator does not reference the dynamic block itself."
"Cart Price Rule Related","Связанное ценовое правило корзины"
"Catalog Price Rule Related","Связанные правила цены каталога"
