"My Requisition Lists","Mijn bestellijsten"
"The SKU was not found in the catalog.","Het product is niet gevonden in de catalogus."
"We can't update your requisition list right now.","We kunnen op dit moment je bestellijst niet bijwerken."
"We can't add the item to the Requisition List right now: %1.","We kunnen het product op dit moment niet toevoegen aan je bestellijst: %1."
"We can't specify a requisition list.","We kunnen geen bestellijst specificeren."
"We can't specify a product.","We kunnen geen specifiek product weergeven."
"You added %1 item(s) to your shopping cart.","Je hebt %1 product(en) aan je winkelwagen toegevoegd."
"Something went wrong.","Er is iets fout gegaan."
"We can't configure the product right now.","We kunnen het product momenteel niet configureren."
"%1 item(s) were copied to %2","%1 artikel(en) werden gekopieerd naar %2"
"%1 item(s) were added to the ""%2""","%1 artikel(en) werden toegevoegd naar ""%2"""
"%1 item(s) were moved to %2","%1 artikel(en) werden verwijderd van %2"
"Requisition Lists","Bestellijsten"
"Requisition List","Bestellijst"
"Invalid item option format.","Ongeldig artikelkeuze formaat."
"An item option with code %1 already exists.","Een product optie met code %1 bestaad reeds."
"Could not save Requisition List","Kan bestellijst niet opslaan"
"Cannot delete Requisition List with id %1","Kan de bestellijst met id %1 niet verwijderen"
"Requested product doesn't exist","Gevraagde product bestaat niet"
"Cannot specify product.","Kan product niet specificeren"
"%1 has been updated in your requisition list.","%1 is bijgewerkt in jebestellijst."
"Product %1 has been added to the requisition list %2.","Product %1 is toegevoegd aan bestellijst %2."
"Options were updated. Please review available configurations.","Opties zijn bijgewerkt. Controleer de beschikbare configuraties."
"The SKU is out of stock.","Het artikelnummer is niet op voorraad."
"The requested qty is not available","De gevraagde hoeveelheid is niet beschikbaar"
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","Bestellijst kon niet worden opgeslagen. Maximum aantal bestellijsten werd overschreden."
"Exception","Uitzondering"
"exception","uitzondering"
"Warning message.","Waarschuwingsbericht."
"No such entity","Entiteit bestaat niet"
"Could not save","Kan niet opslaan"
"Exception Message","Foutmelding"
"View","Bekijk"
"px.","px."
"Add to Requisition List","Toevoegen aan bestellijst"
"Update Requisition List","Update bestellijst"
"Create Requisition List","Bestellijst aanmaken"
"Create New Requisition List","Nieuwe bestellijst aanmaken"
"Print","Afdrukken"
"Rename","Hernoem"
"Rename Requisition List","Naam van bestellijst wijzigen"
"items","producten"
"item","product"
"in requisition list","in bestellijst"
"Contact Us","Neem contact met ons op"
"Add to Cart","In Winkelwagen"
"Update List","Lijst bijwerken"
"Delete Requisition List","Verwijder bestellijst"
"You have no items in this requisition list.","Je hebt geen producten in jebestellijst."
"Product Name","Product Naam"
"Item","Product"
"Price","prijs"
"Qty","Aantal"
"Subtotal","Subtotaal"
"Product","Product"
"SKU","Art.nr."
"Excl. Tax","Excl. BTW"
"Edit item","Artikel bewerken"
"Remove item","Verwijder dit artikel"
"Select all","Alles selecteren"
"With Selected","Met geselecteerde"
"Copy Selected","Kopieer geselecteerde"
"Copy","Kopieer"
"Move Selected","Geselecteerden verplaatsen"
"Move","Verplaats"
"Remove Selected","Verwijder geselecteerde"
"Remove","Verwijder"
"Delete","Verwijder"
"product(s) require your attention","product(en) vereisen je aandacht"
"Requisition List Name","Bestellijst-naam"
"Description","Omschrijving"
"The shopping cart isn't empty","De winkelwagen is niet leeg"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","Je hebt artikelen in jewinkelwagen. Wil je deze artikelen samenvoegen in deze bestelling of deze vervangen?"
"Select Cancel to stay on the current page.","Selecteer ""Annuleren"" om op de huidige pagina te blijven."
"Merge","Samenvoegen"
"Replace","Vervangen"
"Cancel","Annuleer"
"Ok","OK"
"Cannot Perform the Requested Action","Kan de gevraagde actie niet uitvoeren"
"This action cannot be performed because the selected product(s) require attention. You must resolve these issues before you can continue.","Deze actie kan niet worden uitgevoerd omdat de geselecteerde product(en) aandacht vereisen. Je moet deze problemen oplossen voordat je verder kunt gaan."
"Please Select Product","Selecteer een product"
"Please select at least one product to proceed.","Selecteer ten minste één product."
"Save","Opslaan"
"B2B Requisition List","B2B Bestellijst"
"Enable Requisition List","Bestellijst inschakelen"
"General","Algemeen"
"Number of Requisition Lists","Aantal bestellijsten"
"The number of requisition lists should be equal or more than 2.","Het aantal bestellijsten moet gelijk of meer dan 2 zijn."
"Name & Description","Naam & Beschrijving"
"Items","Producten"
"Latest Activity","Recente activiteit"
"You must choose options for your item.","Er zijn verplichte optie keuzes voor dit product."
"We don't have as many ""%1"" as you requested.","Onvoldoende voorraad beschikbaar voor: ""%1""."
