"My Requisition Lists","Mijn bestellijsten"
"The SKU was not found in the catalog.","Het product is niet gevonden in de catalogus."
"We couldn't find the requested requisition list.","We kunnen de opgevraagde bestellijst niet vinden."
"We can't update your requisition list right now.","We kunnen op dit moment je bestellijst niet bijwerken."
"We can't add the item to the Requisition List right now: %1.","We kunnen het product op dit moment niet toevoegen aan je bestellijst: %1."
"We couldn't find the product you requested to add to your requisition list.","We kunnen het gevraagde product niet vinden om toe te voegen aan je bestellijst."
"You added %1 item(s) to your shopping cart.","Je hebt %1 product(en) aan je winkelwagen toegevoegd."
"Something went wrong.","Er is iets fout gegaan."
"Invalid request, missing parameter list_id","Ongeldige aanvraag, ontbrekende parameter list_id"
"Invalid request, please try again.","Ongeldige aanvraag, probeer het opnieuw."
"Product with requested SKU could not be found.","Product met opgevraagde SKU kon niet worden gevonden."
"The product","Het product"
"%1 could not be added to the ""%2"" requisition list.","%1 kon niet worden toegevoegd aan de ""%2"" bestellijst."
"%1 could not be added to the requisition list.","%1 kon niet worden toegevoegd aan de """" bestellijst."
"We can't configure the product right now.","We kunnen het product momenteel niet configureren."
"%1 item(s) were copied to %2","%1 artikel(en) werden gekopieerd naar %2"
"%1 item(s) were added to the ""%2""","%1 artikel(en) werden toegevoegd naar ""%2"""
"%1 item(s) were moved to %2","%1 artikel(en) werden verwijderd van %2"
"The requisition list does not exist.","De opgevraagde verlanglijst bestaat niet."
"All items in your Shopping Cart could not be added to the ""%1"" requisition list.","Alle artikelen in uw winkelwagen kunnen niet worden toegevoegd aan de ""%1"" bestellijst."
"One or more products in your Shopping Cart is invalid.","Een of meer producten in uw winkelwagen zijn ongeldig."
"Requisition Lists","Bestellijsten"
"Requisition List","Bestellijst"
"Invalid item option format.","Ongeldig artikelkeuze formaat."
"An item option with code %1 already exists.","Een product optie met code %1 bestaad reeds."
"Could not save Requisition List","Kan bestellijst niet opslaan"
"Cannot delete Requisition List with id %1","Kan de bestellijst met id %1 niet verwijderen"
"Requested product doesn't exist","Opgevraagde product bestaat niet"
"Cannot specify product.","Kan product niet specificeren"
"%1 has been updated in your requisition list.","%1 is bijgewerkt in je bestellijst."
"Product %1 has been added to the requisition list %2.","Product %1 is toegevoegd aan bestellijst %2."
"Options were updated. Please review available configurations.","Opties zijn bijgewerkt. Controleer de beschikbare configuraties."
"The SKU is out of stock.","Het artikelnummer is niet op voorraad."
"The requested qty is not available","De gevraagde hoeveelheid is niet beschikbaar"
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","Bestellijst kon niet worden opgeslagen. Maximum aantal bestellijsten werd overschreden."
"Could not save requisition list. Invalid data provided","Bestellijst kon niet worden opgeslagen. Ongeldige gegevens verstrekt"
"Exception","Uitzondering"
"exception","uitzondering"
"Warning message.","Waarschuwing."
"No such requisition list could be found.","Er kon geen dergelijke bestellijst worden gevonden."
"Not found","Niet gevonden"
"No such entity","Entiteit bestaat niet"
"Could not save","Kan niet opslaan"
"Exception Message","Foutmelding"
"View","Bekijk"
"px.","px."
"Add to Requisition List","Toevoegen aan bestellijst"
"Add Shopping Cart to Requisition List","Winkelwagen toevoegen aan bestellijst"
"Update Requisition List","Update bestellijst"
"Create Requisition List","Bestellijst aanmaken"
"%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list.","%1 is toegevoegd aan de ""<a href=""%2"">%3</a>"" bestellijst."
"<a href=""%1"" target=""_blank""><span>%2</span></a>","<a href=""%1"" target=""_blank""><span>%2</span></a>"
"All the items in your Shopping Cart have been added to the ""%1"" requisition list.","Alle artikelen in uw winkelwagen zijn toegevoegd aan de ""%1"" bestellijst."
"Create New Requisition List","Nieuwe bestellijst aanmaken"
"Export","Export"
"Print","Afdrukken"
"Rename","Hernoem"
"Rename Requisition List","Naam van bestellijst wijzigen"
"items","producten"
"item","product"
"in requisition list","in bestellijst"
"Contact Us","Neem contact met ons op"
"Add to Cart","In Winkelwagen"
"Update List","Lijst bijwerken"
"Delete Requisition List","Verwijder bestellijst"
"You have no items in this requisition list.","Je hebt geen producten in je bestellijst."
"Product Name","Product Naam"
"Item","Product"
"Price","prijs"
"Qty","Aantal"
"Subtotal","Subtotaal"
"Product","Product"
"SKU","Art.nr."
"Excl. Tax","Excl. BTW"
"Edit item","Artikel bewerken"
"Remove item","Verwijder dit artikel"
"Select all","Alles selecteren"
"With Selected","Met geselecteerde"
"Copy Selected","Kopieer geselecteerde"
"Copy","Kopieer"
