"My Requisition Lists","ನನ್ನ ಬೇಡಿಕೆ ಪಟ್ಟಿಗಳು"
"The SKU was not found in the catalog.","The SKU was not found in the catalog."
"We can't update your requisition list right now.","ನಾವು ಸಧ್ಯಕ್ಕೆ ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಲಿಲ್ಲ."
"We can't add the item to the Requisition List right now: %1.","ಈ ವಸ್ತುವನ್ನು ನಿಮ್ಮ ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ ಸೇರಿಸಲು ಸಧ್ಯಕ್ಕೆ ನಮಗೆ ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ: %1."
"We can't specify a requisition list.","We can't specify a requisition list."
"We can't specify a product.","We can't specify a product."
"You added %1 item(s) to your shopping cart.","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ %1 ಉತ್ಪನ್ನ(ಗಳ) ವನ್ನು ಸೇರಿಸಿದ್ದೀರಿ."
"Something went wrong.","ಯಾವುದೋ ತಪ್ಪು ಸಂಭವಿಸಿದೆ."
"We can't configure the product right now.","ನಾವು ಸಧ್ಯಕ್ಕೆ ಉತ್ಪನ್ನವನ್ನು ಸಂರಚಿಸಲಾಗುವುದಿಲ್ಲ."
"%1 item(s) were copied to %2","%1 ವಸ್ತು(ಗಳ) ವನ್ನು %2 ಕ್ಕೆ ನಕಲಿಸಲಾಗಿದೆ"
"%1 item(s) were added to the ""%2""","%1 ವಸ್ತು(ಗಳ) ವನ್ನು %2 ಕ್ಕೆ ಸೇರಿಸಲಾಗಿದೆ"
"%1 item(s) were moved to %2","%1 ವಸ್ತು(ಗಳ) ವನ್ನು %2 ಕ್ಕೆ ಸರಿಸಲಾಗಿದೆ"
"Requisition Lists","ಬೇಡಿಕೆ ಪಟ್ಟಿಗಳು"
"Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿ"
"Invalid item option format.","Invalid item option format."
"An item option with code %1 already exists.","An item option with code %1 already exists."
"Could not save Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ"
"Cannot delete Requisition List with id %1","%1 ಐಡಿ ಜೊತೆಗಿನ ಬೇಡಿಕೆ ಪಟ್ಟಿ ಅನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ"
"Requested product doesn't exist","ವಿನಂತಿಸಿದ ಉತ್ಪನ್ನ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ"
"Cannot specify product.","Cannot specify product."
"%1 has been updated in your requisition list.","%1 ಅನ್ನು ನಿಮ್ಮ ಬೇಡಿಕೆ ಪಟ್ಟಿಯಲ್ಲಿ ಪರಿಷ್ಕರಿಸಲಾಗಿದೆ."
"Product %1 has been added to the requisition list %2.","ಉತ್ಪನ್ನ %1 ನ್ನು %2 ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ ಸೇರಿಸಲಾಗಿದೆ."
"Options were updated. Please review available configurations.","Options were updated. Please review available configurations."
"The SKU is out of stock.","SKU ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ."
"The requested qty is not available","ವಿನಂತಿಸಿದ ಪರಿಮಾಣ ಲಭ್ಯವಿಲ್ಲ"
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ. ಬೇಡಿಕೆ ಪಟ್ಟಿಯ ಗರಿಷ್ಟ ಮಿತಿ ಮೀರಿದೆ."
"Exception","ವಿನಾಯಿತಿ"
"exception","ವಿನಾಯಿತಿ"
"Warning message.","ಎಚ್ಚರಿಕೆ ಸಂದೇಶ."
"No such entity","No such entity"
"Could not save","ಉಳಿಸಲಾಗಲಿಲ್ಲ"
"Exception Message","Exception ಸಂದೇಶ"
"View","ವೀಕ್ಷಿಸಿ"
"px.","px."
"Add to Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Update Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Create Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ರಚಿಸಿ"
"Create New Requisition List","ಹೊಸ ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ರಚಿಸಿ"
"Print","ಮುದ್ರಿಸಿ"
"Rename","ಮರುಹೆಸರಿಸಿ"
"Rename Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಮರುಹೆಸರಿಸಿ"
"items","ವಸ್ತುಗಳು"
"item","ವಸ್ತು"
"in requisition list","ಬೇಡಿಕೆ ಪಟ್ಟಿಯಲ್ಲಿ"
"Contact Us","ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಿ"
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Update List","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಪರಿಷ್ಕರಿಸಿ"
"Delete Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಅಳಿಸಿ"
"You have no items in this requisition list.","ನಿಮ್ಮ ಬೇಡಿಕೆ ಪಟ್ಟಿಯಲ್ಲಿ ಯಾವುದೇ ವಸ್ತುಗಳಿಲ್ಲ."
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Item","ವಸ್ತು"
"Price","ದರ"
"Qty","ಪರಿಮಾಣ"
"Subtotal","ಉಪಮೊತ್ತ"
"Product","ಉತ್ಪನ್ನ"
"SKU","SKU"
"Excl. Tax","ತೆರಿಗೆ ರಹಿತ"
"Edit item","ವಸ್ತುವನ್ನು ಸಂಪಾದಿಸಿ"
"Remove item","ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Select all","ಎಲ್ಲವನ್ನೂ ಆರಿಸಿ"
"With Selected","ಆರಿಸಿದುದರ ಜೊತೆಗೆ"
"Copy Selected","ಆರಿಸಿದುದನ್ನು ನಕಲಿಸಿ"
"Copy","ನಕಲಿಸಿ"
"Move Selected","ಆರಿಸಿದುದನ್ನು ಸರಿಸಿ"
"Move","ಸರಿಸಿ"
"Remove Selected","ಆರಿಸಿದುದನ್ನು ತೆಗೆದುಹಾಕಿ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Delete","ಅಳಿಸಿ"
"product(s) require your attention","ಉತ್ಪನ್ನಗಳಿಗೆ ನಿಮ್ಮ ಗಮನ ಬೇಕಾಗಿದೆ"
"Requisition List Name","ಬೇಡಿಕೆ ಪಟ್ಟಿ ಹೆಸರು"
"Description","ವಿವರಣೆ"
"The shopping cart isn't empty","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಖಾಲಿಯಿಲ್ಲ"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?"
"Select Cancel to stay on the current page.","ಪ್ರಸ್ತುತ ಪುಟದಲ್ಲೇ ಉಳಿಯಲು ರದ್ದುಪಡಿಸಿ ಅನ್ನು ಆರಿಸಿ."
"Merge","ಒಂದುಗೂಡಿಸಿ"
"Replace","ಬದಲಿಸಿ"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Ok","ಓಕೆ"
"Cannot Perform the Requested Action","Cannot Perform the Requested Action"
"This action cannot be performed because the selected product(s) require attention. You must resolve these issues before you can continue.","This action cannot be performed because the selected product(s) require attention. You must resolve these issues before you can continue."
"Please Select Product","ದಯವಿಟ್ಟಿ ಉತ್ಪನ್ನವನ್ನು ಆರಿಸಿ"
"Please select at least one product to proceed.","ಮುಂದುವರೆಯಲು ದಯವಿಟ್ಟು ಕನಿಷ್ಟ ಒಂದು ಉತ್ಪನ್ನವನ್ನು ಆರಿಸಿ."
"Save","ಉಳಿಸಿ"
"B2B Requisition List","B2B Requisition List"
"Enable Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"General","ಸಾಮಾನ್ಯ"
"Number of Requisition Lists","ಬೇಡಿಕೆ ಪಟ್ಟಿಗಳ ಸಂಖ್ಯೆ"
"The number of requisition lists should be equal or more than 2.","The number of requisition lists should be equal or more than 2."
"Name & Description","ಹೆಸರು ಮತ್ತು ವಿವರಣೆ"
"Items","ವಸ್ತುಗಳು"
"Latest Activity","ಇತ್ತೀಚಿನ ಚಟುವಟಿಕೆ"
"You must choose options for your item.","You must choose options for your item."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
