"UPS Next Day Air","UPS Sledeći Day Air"
"UPS Second Day Air","UPS Second Day Air"
"UPS Ground","UPS Ground"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Izaberi"
"UPS Next Day Air Saver","UPS Sledeći Day Air Saver"
"UPS Next Day Air Early A.M.","UPS Sledeći Day Air Early A.M."
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Saver","UPS Saver"
"UPS Worldwide Saver","UPS Worldwide Saver"
"UPS Express","UPS Express"
"UPS Expedited","UPS Expedited"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS Today Standard","UPS Today Standard"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Express Plus","UPS Express Plus"
"Next Day Air Early AM","Sledeći Day Air Early AM"
"Next Day Air Early AM Letter","Sledeći Day Air Early AM Letter"
"Next Day Air","Sledeći Day Air"
"Next Day Air Letter","Sledeći Day Air Letter"
"Next Day Air Intra (Puerto Rico)","Sledeći Day Air Intra (Puerto Rico)"
"Next Day Air Saver","Sledeći Day Air Saver"
"Next Day Air Saver Letter","Sledeći Day Air Saver Letter"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air","2nd Day Air"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Select","3 Day Izaberi"
"Ground","Zemlja"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Canada Standard","Canada Standard"
"Worldwide Express","Worldwide Express"
"Worldwide Express Saver","Worldwide Express Saver"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Expedited","Worldwide Expedited"
"Customer Packaging","Kupac Packaging"
"UPS Letter Envelope","UPS Letter Envelope"
"Customer Supplied Package","Kupac Supplied Package"
"UPS Tube","UPS Tube"
"PAK","PAK"
"UPS Express Box","UPS Express Box"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"Pallet","Pallet"
"Small Express Box","Small Express Box"
"Medium Express Box","Medium Express Box"
"Large Express Box","Large Express Box"
"Residential","Residential"
"Commercial","Commercial"
"Pounds","Funte"
"Kilograms","Kilogrami"
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Sorry, nešto nije u redu. Pokušajte ponovo or contact us and we'll try to help."
"We can't convert a rate from ""%1-%2"".","Ne može da se konvertuje po stopi od „%1-%2”."
"Cannot retrieve shipping rates","Ne može retrieve shipping rates"
"status","status"
"error_message","error_message"
"Empty response","Prazan odgovor"
"Delivery Confirmation","Delivery Confirmation"
"Signature Required","Signature Obavezno"
"Adult Signature Required","Adult Signature Obavezno"
"Not Required","Nije Zahtevano"
"None","Ništa"
"label","oznaka"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Field ","Polje"
" is required.","je obavezno."
"UPS","UPS"
"Access License Number","Access License Number"
"Enabled for Checkout","Omogući za Plaćanje"
"Allowed Methods","Dozvoljene Metode"
"Packages Request Type","Vrsta Zahteva za Pakete"
"Container","Container"
"Enable Free Shipping Threshold","Omogućite prag besplatne isporuke"
"Free Shipping Amount Threshold","Prag besplatne isporuke"
"Destination Type","Destination Tip"
"Free Method","Besplatna Metoda"
"Gateway URL","URL adresa mrežnog prolaza"
"Gateway XML URL","Gateway XML URL"
"Calculate Handling Fee","Izračunajte naknadu za rukovanje"
"Handling Applied","Primenjeno rukovanje"
"Handling Fee","Troškovi obrade"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maksimalna Težina Paketa (Proverite sa Vašim dostavljačem koja je maksimalna težina za isporuku)"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)"
"Origin of the Shipment","Origin of the Pošiljka"
"Password","Lozinka"
"Pickup Method","Pickup Method"
"Sort Order","Redosled porudžbina"
"Title","Naslov"
"Tracking XML URL","Tracking XML URL"
"UPS Type","UPS Tip"
"Live Account","Live Nalog"
"Weight Unit","Jedinica Težine"
"User ID","User ID"
"Enable Negotiated Rates","Omogući Negotiated Rates"
"Shipper Number","Shipper Number"
"Required for negotiated rates; 6-character UPS","Obavezno for negotiated rates; 6-character UPS"
"Ship to Applicable Countries","Dostavi u Odgovarajuću Državu"
"Ship to Specific Countries","Dostavi u Navedenu Državu"
"Show Method if Not Applicable","Prikaži Metod ako Nije Primenljivo"
"Displayed Error Message","Prikazana Poruka o Grešci"
"Mode","Mode"
"This enables or disables SSL verification of the Magento server by UPS.","This enables or disables SSL verification of the Magento server by UPS."
"Debug","Otklanjanje grešaka"
"Live account","Live account"
"Request Tax-Inclusive Rate","Zahtev Porez-Inclusive Rate"
