"Next >","Next >"
"< Back","< Back"
"Done","Done"
"Sorry, we had a problem loading our “What’s new” content.","Désolé, nous avons eu un problème lors du chargement de notre contenu « Quoi de neuf »."
"<![CDATA[
    <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
    <p>To learn more about new features, see our latest Release Notes in
    <a href=""https://devdocs.magento.com/magento-release-information.html""
    target=""_blank"">DevDocs' Release Information</a>.
    </p>]]>","<![CDATA[
    <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
    <p>To learn more about new features, see our latest Release Notes in
    <a href=""https://devdocs.magento.com/magento-release-information.html""
    target=""_blank"">DevDocs' Release Information</a>.
    </p>]]>"
