"Summary","Përmbledhje"
"Account Dashboard","Paneli i Llogarisë"
"Account Information","Informacioni i Llogarisë"
"Address Book","Libri i Adresave"
"Menu","Menuja"
"Account","Llogaria"
"Settings","Cilësimet"
