"Summary","Περίληψη"
"Account Information","Πληροφορίες Λογαριασμού"
"Address Book","Βιβλίο Διευθύνσεων"
"Menu","Μενού"
"Account","Λογαριασμός"
"Settings","Ρυθμίσεις"
