"Summary","સારાંશ"
"Account Dashboard","એકાઉન્ટ ડેશબોર્ડ"
"Account Information","ખાતાની માહિતી"
"Address Book","સરનામા પુસ્તિકા"
"Menu","મેનૂ"
"Account","ખાતું"
"Settings","સેટિંગ્સ"
