"Summary","สรุป"
"Account Dashboard","แดชบอร์ดผู้ใช้"
"Account Information","ข้อมูลบัญชี"
"Address Book","ข้อมูลที่อยู่จัดส่งสินค้า"
"Menu","เมนู"
"Account","บัญชีผู้ใช้"
"Settings","การตั้งค่า"
