"Summary","Підсумок"
"Account Dashboard","Панель керування облікового запису"
"Account Information","Інформація про обліковий запис"
"Address Book","Адресна книга"
"Menu","Меню"
"Account","Обліковий запис"
"Settings","Налаштування"
