"Subscription status","Abonnementsstatus"
"Sorry, there has been an error processing your request. Please try again later.","Sorry, er is een fout opgetreden bij het verwerken van uw aanvraag. Probeer het later nog eens."
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","Sorry, there was an error processing your registration request to Magento Analytics. Please try again later."
"Error occurred during postponement notification","Error occurred during postponement notification"
"Time value has an unsupported format","Tijd waarde bevat een niet ondersteund formaat"
"Cron settings can't be saved","Cron instellingen konden niet worden opgeslagen"
"There was an error save new configuration value.","Er was een fout bij het opslaan van de nieuwe configuratiewaarde."
"Please select an industry.","Selecteer een branch."
"--Please Select--","--Maak een keuze--"
"Command %1"" was not found.""","Command %1"" was not found."""
"Input data must be string or convertible into string.","Invoer data moet een string zijn of naar string geconverteerd kunnen worden."
"Input data must be non-empty string.","Invoer data mag niet leeg zijn."
"Not valid cipher method.","Geen geldige coderingsmethode."
"Encryption key can't be empty.","Encryptiesleutel mag niet leeg zijn."
"Source ""%1"" is not exist","Bron ""%1"" bestaat niet"
"These arguments can't be empty ""%1""","Deze argumenten mogen niet leeg zijn ""%1"""
"Cannot find predefined integration user!","Vooraf gedefinieerde integratiegebruiker niet gevonden!"
"File is not ready yet.","Bestand is nog niet klaar."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Uw basis-URL is veranderd en uw rapporten worden bijgewerkt. Geavanceerde rapportage zal beschikbaar zijn zodra deze wijziging is verwerkt. Probeer het later nog eens."
"Failed to synchronize data to the Magento Business Intelligence service. ","Gegevens synchroniseren met de Magento Business Intelligence service mislukt. "
"Retry Synchronization","Opnieuw synchroniseren"
"TestMessage","TestBericht"
"Error message","Error message"
"Apps and Games","Apps en Games"
"Athletic/Sporting Goods","Atletiek/Sport goederen"
"Art and Design","Kunst en Design"
"Advanced Reporting","Geavanceerde rapportages"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Krijg nieuwe inzichten en neem de leiding over de prestaties van uw bedrijf, gebruikmakend van onze dynamische product-, order- en klantrapporten op maat van uw klantgegevens."
"View details","View details"
"Go to Advanced Reporting","Ga naar de geavanceerde rapportage"
"An error occurred while subscription process.","An error occurred while subscription process."
"Analytics","Analyse"
"API","API"
"Configuration","Configuratie"
"Business Intelligence","Business intelligence"
"BI Essentials","BI Essentieel"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.
                ","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.
                "
"Advanced Reporting Service","Geavanceerde rapportage service"
"Industry","Industrie"
"Time of day to send data","Moment van de dag om gegevens te verzenden"
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>meer inzicht krijgen van Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier."
"Auto Parts","Auto-onderdelen"
"Baby/Children’s Apparel, Gear and Toys","Baby / kinderkleding, uitrusting en speelgoed"
"Beauty and Cosmetics","Schoonheid en cosmetica"
"Books, Music and Magazines","Muziek, boeken en tijdschriften"
"Crafts and Stationery","Ambachten en schrijfbehoeften"
"Consumer Electronics","Consumentenelektronica"
"Deal Site","Aanbieding-site"
"Fashion Apparel and Accessories","Mode kleding en accessoires"
"Food, Beverage and Grocery","Voedsel, drank en boodschappen"
"Home Goods and Furniture","Huishoudartikelen en meubilair"
"Home Improvement","Doe-het-zelf"
"Jewelry and Watches","Sieraden en horloges"
"Mass Merchant","Massale koopman"
"Office Supplies","Kantoorartikelen"
"Outdoor and Camping Gear","Outdoor- en kampeeruitrusting"
"Pet Goods","Huisdier goederen"
"Pharma and Medical Devices","Farma en medische hulpmiddelen"
"Technology B2B","Technologie B2B"
"Analytics Subscription","Analytics Subscription"
"powered by Magento Business Intelligence","powered by Magento Business Intelligence"
"Are you sure you want to opt out?","Are you sure you want to opt out?"
"Cancel","Cancel"
"Opt out","Opt out"
"<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>","<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>"
"In order to personalize your Advanced Reporting experience, please select your industry.","Selecteer uw branche om uw ervaring van geavanceerde rapportage te personaliseren."
