"Subscription status","Status langganan"
"Sorry, there has been an error processing your request. Please try again later.","Maaf, telah terjadi kesalahan saat memproses permintaan Anda. Silakan coba lagi nanti."
"Time value has an unsupported format","Time value has an unsupported format"
"Cron settings can't be saved","Setelan cron tidak dapat disimpan"
"There was an error save new configuration value.","Terjadi kesalahan saat menyimpan nilai konfigurasi baru."
"Please select a vertical.","Please select a vertical."
"--Please Select--","--Silahkan pilih--"
"Command was not found.","Command was not found."
"Input data must be string or convertible into string.","Input data must be string or convertible into string."
"Input data must be non-empty string.","Input data must be non-empty string."
"Not valid cipher method.","Not valid cipher method."
"Encryption key can't be empty.","Encryption key can't be empty."
"Source ""%1"" is not exist","Source ""%1"" is not exist"
"These arguments can't be empty ""%1""","Argumen ini tidak boleh kosong ""%1"""
"Cannot find predefined integration user!","Tidak dapat menemukan pengguna integrasi yang telah ditentukan sebelumnya!"
"File is not ready yet.","File belum siap."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","URL Base Anda telah diubah dan laporan Anda sedang diperbarui. Pelaporan Lanjutan akan tersedia setelah perubahan ini diproses. Silakan coba lagi nanti."
"Failed to synchronize data to the Magento Business Intelligence service. ","Gagal menyinkronkan data ke layanan Magento Business Intelligence. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Retry Synchronization</a>"
"TestMessage","Uji pesan"
"Apps and Games","Aplikasi dan Game"
"Athletic/Sporting Goods","Barang olahraga / atletik"
"Art and Design","Seni dan Desain"
"Advanced Reporting","Pelaporan Lanjutan"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Dapatkan wawasan baru dan ambil kendali kinerja bisnis Anda, dengan menggunakan laporan produk, pesanan, dan pelanggan dinamis kami yang disesuaikan dengan data pelanggan Anda."
"Go to Advanced Reporting","Buka Pelaporan Lanjutan"
"Analytics","Analytics"
"API","API unggun"
"Configuration","Konfigurasi"
"Business Intelligence","Business Intelligence"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","Layanan Pelaporan Lanjutan"
"Time of day to send data","Waktu hari untuk mengirim data"
"Industry","Industri"
"In order to personalize your Advanced Reporting experience, please select your industry.","Untuk mempersonalisasi pengalaman Pelaporan Lanjutan Anda, pilih industri Anda."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong> Dapatkan lebih banyak wawasan dari Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","Bagian Mobil"
"Baby/Children’s Apparel, Gear and Toys","Perlengkapan Bayi/Anak, Gear dan Mainan"
"Beauty and Cosmetics","Kecantikan dan Kosmetik"
"Books, Music and Magazines","Buku, Musik dan Majalah"
"Crafts and Stationery","Kerajinan Tangan dan Alat Tulis"
"Consumer Electronics","Elektronik Konsumen"
"Deal Site","Situs kesepakatan"
"Fashion Apparel and Accessories","Pakaian dan Aksesoris Fashion"
"Food, Beverage and Grocery","Makanan, Minuman dan Kelontong"
"Home Goods and Furniture","Barang rumah dan perabot"
"Home Improvement","Perbaikan rumah"
"Jewelry and Watches","Perhiasan dan Jam"
"Mass Merchant","Mass Merchant"
"Office Supplies","Peralatan Kantor"
"Outdoor and Camping Gear","Outdoor dan Camping Gear"
"Pet Goods","Barang hewan"
"Pharma and Medical Devices","Pharma dan Alat Kesehatan"
"Technology B2B","Teknologi B2B"
"Other","Other"
"The time value is using an unsupported format. Enter a supported format and try again.","The time value is using an unsupported format. Enter a supported format and try again."
"Please select an industry.","Please select an industry."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","The data is invalid. Enter the data as a string or data that can be converted into a string and try again."
"The data is invalid. Enter the data as a string and try again.","The data is invalid. Enter the data as a string and try again."
"The data is invalid. Use a valid cipher method and try again.","The data is invalid. Use a valid cipher method and try again."
"Enter the encryption key and try again.","Enter the encryption key and try again."
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist."
"Retry Synchronization","Retry Synchronization"
