"Subscription status","ಚಂದಾದಾರಿಕೆಯ ಸ್ಥಿತಿ"
"Sorry, there has been an error processing your request. Please try again later.","ಕ್ಷಮಿಸಿ, ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಸಂಸ್ಕರಿಸುವಲ್ಲಿ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"Time value has an unsupported format","Time value has an unsupported format"
"Cron settings can't be saved","Cron settings can't be saved"
"There was an error save new configuration value.","There was an error save new configuration value."
"Please select a vertical.","Please select a vertical."
"--Please Select--","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Command was not found.","Command was not found."
"Input data must be string or convertible into string.","Input data must be string or convertible into string."
"Input data must be non-empty string.","Input data must be non-empty string."
"Not valid cipher method.","Not valid cipher method."
"Encryption key can't be empty.","Encryption key can't be empty."
"Source ""%1"" is not exist","Source ""%1"" is not exist"
"These arguments can't be empty ""%1""","These arguments can't be empty ""%1"""
"Cannot find predefined integration user!","Cannot find predefined integration user!"
"File is not ready yet.","ಕಡತ ಇನ್ನೂ ಸಜ್ಜುಗೊಂಡಿಲ್ಲ."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later."
"Failed to synchronize data to the Magento Business Intelligence service. ","Failed to synchronize data to the Magento Business Intelligence service. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Retry Synchronization</a>"
"TestMessage","TestMessage"
"Apps and Games","ಆಪ್‍ಗಳು ಮತ್ತು ಆಟಗಳು"
"Athletic/Sporting Goods","ಅತ್ಲೆಟಿಕ್/ಕ್ರೀಡಾ ಸಾಮಗ್ರಿಗಳು"
"Art and Design","ಕಲೆ ಮತ್ತು ವಿನ್ಯಾಸ"
"Advanced Reporting","ಸುಧಾರಿತ ವರದಿಗಾರಿಕೆ"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data."
"Go to Advanced Reporting","ಸುಧಾರಿತ ವರದಿಗಾರಿಕೆಗೆ ತೆರಳಿ"
"Analytics","ವಿಶ್ಲೇಷಣೆಗಳು"
"API","API"
"Configuration","ಸಂರಚನೆ"
"Business Intelligence","ಉದ್ಯಮ ಬುದ್ಧಿಮತ್ತೆ"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","ಸುಧಾರಿತ ವರದಿಗಾರಿಕೆ ಸೇವೆ"
"Time of day to send data","ದತ್ತಾಂಶ ಕಳುಹಿಸಲು ದಿನದ ಸಮಯ"
"Industry","ಉದ್ಯಮ"
"In order to personalize your Advanced Reporting experience, please select your industry.","In order to personalize your Advanced Reporting experience, please select your industry."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Get more insights from Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","ಆಟೋ ಬಿಡಿಭಾಗಗಳು"
"Baby/Children’s Apparel, Gear and Toys","ಕೂಸಿನ/ಮಕ್ಕಳ ಉಡುಪುಗಳು, ಉಪಕರಣ ಮತ್ತು ಆಟಿಕೆಗಳು"
"Beauty and Cosmetics","ಸೌಂದರ್ಯ ಮತ್ತು ಪ್ರಸಾಧನ ಸಾಮಗ್ರಿಗಳು"
"Books, Music and Magazines","ಪುಸ್ತಕಗಳು, ಸಂಗೀತ ಮತ್ತು ನಿಯತಕಾಲಿಕೆಗಳು"
"Crafts and Stationery","ಕರಕುಶಲ ವಸ್ತುಗಳು ಮತ್ತು ಲೇಖನ ಸಾಮಗ್ರಿ"
"Consumer Electronics","ಗೃಹಬಳಕೆ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್"
"Deal Site","Deal Site"
"Fashion Apparel and Accessories","ಫ್ಯಾಶನ್ ಉಡುಪುಗಳು ಮತ್ತು ಪೂರಕ ಸಾಮಗ್ರಿಗಳು"
"Food, Beverage and Grocery","ಆಹಾರ, ಪಾನೀಯ ಮತ್ತು ಹಣ್ಣು ತರಕಾರಿಗಳು"
"Home Goods and Furniture","ಗೃಹೋಪಯೋಗಿ ವಸ್ತುಗಳು ಮತ್ತು ಪೀಠೋಪಕರಣಗಳು"
"Home Improvement","ಗೃಹ ಅಭಿವೃದ್ಧಿ ವಸ್ತುಗಳು"
"Jewelry and Watches","ಆಭರಣಗಳು ಮತ್ತು ಗಡಿಯಾರಗಳು"
"Mass Merchant","ಸಗಟು ವ್ಯಾಪಾರಿ"
"Office Supplies","ಕಛೇರಿ ಸಾಮಗ್ರಿಗಳು"
"Outdoor and Camping Gear","ಹೊರಾಂಗಣ ಮತ್ತು ಕ್ಯಾಂಪಿಂಗ್ ಉಪಕರಣಗಳು"
"Pet Goods","ಸಾಕುಪ್ರಾಣಿಗಳ ಸಾಮಗ್ರಿಗಳು"
"Pharma and Medical Devices","ಔಷಧೀಯ ಮತ್ತು ವೈದ್ಯಕೀಯ ಉಪಕರಣಗಳು"
"Technology B2B","ತಾಂತ್ರಿಕ B2B"
"Other","ಇತರೆ"
"The time value is using an unsupported format. Enter a supported format and try again.","The time value is using an unsupported format. Enter a supported format and try again."
"Please select an industry.","ದಯವಿಟ್ಟು ಉದ್ಯಮವನ್ನು ಆರಿಸಿ."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","The data is invalid. Enter the data as a string or data that can be converted into a string and try again."
"The data is invalid. Enter the data as a string and try again.","The data is invalid. Enter the data as a string and try again."
"The data is invalid. Use a valid cipher method and try again.","The data is invalid. Use a valid cipher method and try again."
"Enter the encryption key and try again.","Enter the encryption key and try again."
"The ""%1"" source doesn't exist.","""%1"" ನ ಮೂಲ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"Retry Synchronization","Retry Synchronization"
