"Subscription status","สถานะการสมัครรับข่าวสาร"
"Sorry, there has been an error processing your request. Please try again later.","ขออภัย เกิดข้อผิดพลาดในการดำเนินการตามคำขอของคุณ โปรดลองอีกครั้งในภายหลัง."
"Time value has an unsupported format","Time value has an unsupported format"
"Cron settings can't be saved","ไม่สามารถบันทึกการตั้งค่า Cron ได้"
"There was an error save new configuration value.","มีข้อผิดพลาดในการบันทึกค่าการกำหนดค่าใหม่"
"Please select a vertical.","Please select a vertical."
"--Please Select--","--กรุณาเลือก--"
"Command was not found.","Command was not found."
"Input data must be string or convertible into string.","Input data must be string or convertible into string."
"Input data must be non-empty string.","Input data must be non-empty string."
"Not valid cipher method.","Not valid cipher method."
"Encryption key can't be empty.","Encryption key can't be empty."
"Source ""%1"" is not exist","Source ""%1"" is not exist"
"These arguments can't be empty ""%1""","อาร์กิวเมนต์เหล่านี้ไม่สามารถเว้นว่างไว้ได้ ""%1"""
"Cannot find predefined integration user!","ไม่พบผู้ใช้การรวมที่กำหนดไว้ล่วงหน้า!"
"File is not ready yet.","ไฟล์ยังไม่พร้อม"
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","URL ฐานของคุณมีการเปลี่ยนแปลง และรายงานของคุณกำลังได้รับการอัปเดต การรายงานขั้นสูงจะพร้อมใช้งานเมื่อการเปลี่ยนแปลงนี้ได้รับการประมวลผลแล้ว โปรดลองอีกครั้งในภายหลัง."
"Failed to synchronize data to the Magento Business Intelligence service. ","ไม่สามารถซิงโครไนซ์ข้อมูลกับบริการ Magento Business Intelligence "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Retry Synchronization</a>"
"TestMessage","ข้อความทดสอบ"
"Apps and Games","แอพและเกม"
"Athletic/Sporting Goods","อุปกรณ์กีฬา/เครื่องกีฬา"
"Art and Design","ศิลปะและการออกแบบ"
"Advanced Reporting","การรายงานขั้นสูง"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","รับข้อมูลเชิงลึกใหม่ๆ และควบคุมประสิทธิภาพของธุรกิจของคุณ โดยใช้ผลิตภัณฑ์ คำสั่งซื้อ และรายงานลูกค้าแบบไดนามิกของเราที่ปรับให้เหมาะกับข้อมูลลูกค้าของคุณ"
"Go to Advanced Reporting","ไปที่การรายงานขั้นสูง"
"Analytics","การวิเคราะห์"
"API","API"
"Configuration","การกำหนดค่า"
"Business Intelligence","Business Intelligence"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","บริการรายงานขั้นสูง"
"Time of day to send data","เวลาของวันในการส่งข้อมูล"
"Industry","อุตสาหกรรม"
"In order to personalize your Advanced Reporting experience, please select your industry.","เพื่อปรับแต่งประสบการณ์การรายงานขั้นสูงของคุณ โปรดเลือกอุตสาหกรรมของคุณ"
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>รับข้อมูลเชิงลึกเพิ่มเติมจาก Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence ให้คุณมีเส้นทางสู่.ที่ง่ายและชัดเจน
                    ขับเคลื่อนด้วยข้อมูลมากขึ้น</br> เรียนรู้เพิ่มเติมเกี่ยวกับ <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">ระดับ Magento BI Essentials และ BI Pro</a>"
"Auto Parts","อะไหล่รถยนต์"
"Baby/Children’s Apparel, Gear and Toys","เสื้อผ้า อุปกรณ์ และของเล่นสำหรับเด็ก/เด็ก"
"Beauty and Cosmetics","ความงามและเครื่องสำอาง"
"Books, Music and Magazines","หนังสือ เพลง และนิตยสาร"
"Crafts and Stationery","หัตถกรรมและเครื่องเขียน"
"Consumer Electronics","เครื่องใช้ไฟฟ้า"
"Deal Site","เว็บไซต์ดีล"
"Fashion Apparel and Accessories","เครื่องแต่งกายและเครื่องประดับแฟชั่น"
"Food, Beverage and Grocery","อาหาร เครื่องดื่ม และของชำ"
"Home Goods and Furniture","ของใช้ในบ้านและเฟอร์นิเจอร์"
"Home Improvement","การปรับปรุงบ้าน"
"Jewelry and Watches","เครื่องประดับและนาฬิกา"
"Mass Merchant","Mass Merchant"
"Office Supplies","เครื่องใช้สำนักงาน"
"Outdoor and Camping Gear","อุปกรณ์กลางแจ้งและแคมป์ปิ้ง"
"Pet Goods","สินค้าสัตว์เลี้ยง"
"Pharma and Medical Devices","ยาและอุปกรณ์การแพทย์"
"Technology B2B","เทคโนโลยี B2B"
