"Subscription status","Abonnementsstatus"
"Sorry, there has been an error processing your request. Please try again later.","Sorry, er is een fout opgetreden bij het verwerken van je aanvraag. Probeer het later nog eens."
"Time value has an unsupported format","Tijd waarde bevat een niet ondersteund formaat"
"Cron settings can't be saved","Cron instellingen konden niet worden opgeslagen"
"There was an error save new configuration value.","Er was een fout bij het opslaan van de nieuwe configuratiewaarde."
"Please select a vertical.","Selecteer een verticale."
"--Please Select--","--Maak een keuze--"
"Command was not found.","Opdracht is niet gevonden."
"Input data must be string or convertible into string.","Invoer data moet een string zijn of naar string geconverteerd kunnen worden."
"Input data must be non-empty string.","Invoer data mag niet leeg zijn."
"Not valid cipher method.","Geen geldige coderingsmethode."
"Encryption key can't be empty.","Encryptiesleutel mag niet leeg zijn."
"Source ""%1"" is not exist","Bron ""%1"" bestaat niet"
"These arguments can't be empty ""%1""","Deze argumenten mogen niet leeg zijn ""%1"""
"Cannot find predefined integration user!","Vooraf gedefinieerde integratiegebruiker niet gevonden!"
"File is not ready yet.","Bestand is nog niet klaar."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Je basis-URL is veranderd en je rapporten worden bijgewerkt. Geavanceerde rapportage zal beschikbaar zijn zodra deze wijziging is verwerkt. Probeer het later nog eens."
"Failed to synchronize data to the Magento Business Intelligence service. ","Gegevens synchroniseren met de Magento Business Intelligence service mislukt. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Synchronisatie opnieuw proberen</a>"
"TestMessage","TestBericht"
"Apps and Games","Apps en Games"
"Athletic/Sporting Goods","Atletiek/Sport goederen"
"Art and Design","Kunst en Design"
"Advanced Reporting","Geavanceerde rapportages"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Krijg nieuwe inzichten en neem de leiding over de prestaties van je bedrijf, gebruikmakend van onze dynamische product-, order- en klantrapporten op maat van je klantgegevens."
"Go to Advanced Reporting","Ga naar de geavanceerde rapportage"
"Analytics","Analyse"
"API","API"
"Configuration","Configuratie"
"Business Intelligence","Business intelligence"
"BI Essentials","BI Essentieel"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Deze service biedt een dynamisch pakket rapporten met rijke inzichten over je bedrijf.
                 Je rapporten kunnen veilig worden geopend op een gepersonaliseerd dashboard buiten het beheerdersvenster door op de. Te klikken
                 ""Ga naar geavanceerde rapportage"" link. </br> Voor meer informatie, zie onze <a href=""https://magento.com/legal/terms/cloud-terms"">
                 Algemene voorwaarden </a>."
"Advanced Reporting Service","Geavanceerde rapportage service"
"Time of day to send data","Moment van de dag om gegevens te verzenden"
"Industry","Industrie"
"In order to personalize your Advanced Reporting experience, please select your industry.","Selecteer je branche om je ervaring van geavanceerde rapportage te personaliseren."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>meer inzicht krijgen van Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence biedt je een eenvoudig en duidelijk pad naar
                     meer data driven worden. </br> Meer informatie over <a target=""_ blank""
                     href=""https://dashboard.rjmetrics.com/v2/magento/signup/""> Magento BI Essentials en BI Pro </a> lagen."
"Auto Parts","Auto-onderdelen"
"Baby/Children’s Apparel, Gear and Toys","Baby / kinderkleding, uitrusting en speelgoed"
"Beauty and Cosmetics","Schoonheid en cosmetica"
"Books, Music and Magazines","Muziek, boeken en tijdschriften"
"Crafts and Stationery","Ambachten en schrijfbehoeften"
"Consumer Electronics","Consumentenelektronica"
"Deal Site","Aanbieding-site"
"Fashion Apparel and Accessories","Mode kleding en accessoires"
"Food, Beverage and Grocery","Voedsel, drank en boodschappen"
"Home Goods and Furniture","Huishoudartikelen en meubilair"
"Home Improvement","Doe-het-zelf"
"Jewelry and Watches","Sieraden en horloges"
"Mass Merchant","Massale koopman"
"Office Supplies","Kantoorartikelen"
"Outdoor and Camping Gear","Outdoor- en kampeeruitrusting"
"Pet Goods","Huisdier goederen"
"Pharma and Medical Devices","Farma en medische hulpmiddelen"
"Technology B2B","Technologie B2B"
"Other","Andere"
"The time value is using an unsupported format. Enter a supported format and try again.","De waarde voor de tijd gebruikt een ongeldig format. Gebruik een geldig format en probeer het nog eens."
"Please select an industry.","Selecteer een branch."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","De gegevens zijn ongeldig. Voer de gegevens als een tekenreeks of de gegevens die kunnen worden omgezet in een tekenreeks en probeer het opnieuw."
"The data is invalid. Enter the data as a string and try again.","De gegevens zijn ongeldig. Voer de gegevens als een tekenreeks en probeer het opnieuw."
"The data is invalid. Use a valid cipher method and try again.","De gegevens zijn ongeldig. Gebruik een geldige cipher methode en probeer het opnieuw."
"Enter the encryption key and try again.","Geef de coderingssleutel op en probeer het opnieuw."
"The ""%1"" source doesn't exist.","De bron van de ""%1"" bestaat niet."
"Retry Synchronization","Opnieuw synchroniseren"
