"Change Encryption Key","Verander encryptiesleutel"
"Encryption Key","Encryptiesleutel"
"New Encryption Key","Nieuwe encryptiesleutel"
"The encryption key is used to protect passwords and other sensitive data.","De encryptiesleutel wordt gebruikt om wachtwoorden en andere gevoelige gegevens te beveiligen."
"Auto-generate a Key","Automatisch een encryptiesleutel genereren"
"No","Nee"
"Yes","Ja"
"The generated key will be displayed after changing.","De gegenereerde encryptiesleutel wordt weergegeven na het veranderen."
"New Key","Nieuwe encryptiesleutel"
"Deployment configuration file is not writable.","Deployment configuratiebestand is niet schrijfbaar."
"Please enter an encryption key.","Vul een encryptiesleutel in."
"The encryption key has been changed.","De encryptiesleutel is veranderd."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Dit is uw nieuwe encryptiesleutel: %1. Zorg ervoor dat u deze opschrijft en er goed voor zorgt."
"Manage Encryption Key","Beheer Encryptie sleutel"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
