"Change Encryption Key","暗号化キーを変更"
"Encryption Key","暗号化キー"
"New Encryption Key","新しい暗号化キー"
"The encryption key is used to protect passwords and other sensitive data.","暗号化キーはパスワードや他の重要なデータの保護に使われます。"
"Auto-generate a Key","キーを自動生成"
"No","No"
"Yes","Yes"
"The generated key will be displayed after changing.","自動生成したキーは変更後に表示されます。"
"New Key","新しいキー"
"Deployment configuration file is not writable.","デプロイ設定ファイルは書き込み可能ではありません。"
"Please enter an encryption key.","暗号化キーを入力してください。"
"The encryption key has been changed.","暗号化キーが変更されています。"
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","これが新しい暗号化キーです： %1。 書き留めて、取り扱いに十分に配慮してください！"
"Manage Encryption Key","暗号化キー管理"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
