"Change Encryption Key","Titkosítókulcs módosítása"
"Encryption Key","Titkosítókulcs"
"New Encryption Key","Új titkosítókulcs"
"The encryption key is used to protect passwords and other sensitive data.","A titkosítókulcs jelszavak és egyéb érzékeny adatok védelmére szolgál."
"Auto-generate a Key","Kulcs automatikus generálása"
"No","Nem "
"Yes","Igen"
"The generated key will be displayed after changing.","A generált kulcs módosítás után jelenik meg."
"New Key","Új kulcs"
"Deployment configuration file is not writable.","A telepítési konfigurációs fájl nem írható."
"Please enter an encryption key.","Kérjük, írjon be egy titkosítókulcsot!"
"The encryption key has been changed.","A titkosítókulcs módosítva."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Ez az új titkosítókulcs: %1. Írja le, és gondosan vigyázzon rá!"
"Manage Encryption Key","Titkosítókulcs kezelése"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
