"Change Encryption Key","שנה מפתח הצפנה"
"Encryption Key","מפתח ההצפנה"
"New Encryption Key","מפתח ההצפנה החדש"
"The encryption key is used to protect passwords and other sensitive data.","מפתח ההצפנה משמש כדי להגן על סיסמאות ונתונים רגישים אחרים."
"Auto-generate a Key","צור מפתח רנדומלי"
"No","לא"
"Yes","כן"
"The generated key will be displayed after changing.","המפתח שנוצר יוצג לאחר שינוי."
"New Key","מפתח חדש"
"Deployment configuration file is not writable.","קובץ של פריסה אינו ניתן לכתיבה."
"Please enter an encryption key.","הזן בבקשה את מפתח ההצפנה."
"The encryption key has been changed.","מפתח ההצפנה שונה."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!",". זה מפתח ההצפנה החדש שלך: %1. הקפד לכתוב את זה, שמור עליו!"
"Manage Encryption Key","נהל את מפתח ההצפנה"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
