"Change Encryption Key","Vaihda salausavain"
"Encryption Key","Salausavain"
"New Encryption Key","Uusi salausavain"
"The encryption key is used to protect passwords and other sensitive data.","Salausavainta käytetään suojaamaan salasanoja ja muita arkaluonteisia tietoja."
"Auto-generate a Key","Auto-generate a Key"
"No","Ei"
"Yes","Kyllä"
"The generated key will be displayed after changing.","The generated key will be displayed after changing."
"New Key","Uusi avain"
"Deployment configuration file is not writable.","Deployment configuration file is not writable."
"Please enter an encryption key.","Please enter an encryption key."
"The encryption key has been changed.","The encryption key has been changed."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","This is your new encryption key: %1. Be sure to write it down and take good care of it!"
"Manage Encryption Key","Manage Encryption Key"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
