"Change Encryption Key","ಗೂಢಲಿಪೀಕರಣದ ಕೀಯನ್ನು ಬದಲಿಸಿ"
"Encryption Key","ಗೂಢಲಿಪೀಕರಣದ ಕೀ"
"New Encryption Key","ಹೊಸ ಗೂಢಲಿಪೀಕರಣದ ಕೀ"
"The encryption key is used to protect passwords and other sensitive data.","The encryption key is used to protect passwords and other sensitive data."
"Auto-generate a Key","Auto-generate a Key"
"No","ಇಲ್ಲ"
"Yes","ಹೌದು"
"The generated key will be displayed after changing.","The generated key will be displayed after changing."
"New Key","ಹೊಸ ಕೀ"
"Deployment configuration file is not writable.","Deployment configuration file is not writable."
"Please enter an encryption key.","ದಯವಿಟ್ಟು ಗೂಢಲಿಪೀಕರಣದ ಕೀಯೊಂದನ್ನು ನಮೂದಿಸಿ."
"The encryption key has been changed.","ಗೂಢಲಿಪೀಕರಣದ ಕೀಯನ್ನು ಬದಲಾಯಿಸಲಾಗಿದೆ."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","This is your new encryption key: %1. Be sure to write it down and take good care of it!"
"Manage Encryption Key","ಗೂಢಲಿಪೀಕರಣದ ಕೀಯನ್ನು ನಿರ್ವಹಿಸಿ"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
