"Change Encryption Key","Zmień klucz"
"Encryption Key","Klucz szyfrowania"
"New Encryption Key","Nowy klucz szyfrowania"
"The encryption key is used to protect passwords and other sensitive data.","Klucz szyfrowania jest używany do ochrony haseł i innych poufnych danych."
"Auto-generate a Key","Automatyczne generowanie klucza"
"No","Nie"
"Yes","Tak"
"The generated key will be displayed after changing.","Wygenerowany klucz będzie wyświetlony po zmianie."
"New Key","Nowy klucz"
"Deployment configuration file is not writable.","Plik konfiguracji wdrażania nie jest możliwy do zapisu."
"Please enter an encryption key.","Wprowadź klucz szyfrowania."
"The encryption key has been changed.","Klucz szyfrowania został zmieniony."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","To jest Twój nowy klucz szyfrowy: %1. Pamiętaj by go zapisać i na niego uważać!"
"Manage Encryption Key","Klucz szyfrowania"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
