"Change Encryption Key","Cambia chiave crittografica"
"Encryption Key","Chiave crittografica"
"New Encryption Key","Nuova chiave crittografica"
"The encryption key is used to protect passwords and other sensitive data.","La chiave crittografica viene utilizzata per proteggere le password e altri dati sensibili."
"Auto-generate a Key","Generare una chiave automaticamente"
"No","No"
"Yes","Sì"
"The generated key will be displayed after changing.","La chiave generata verrà visualizzata dopo la modifica."
"New Key","Nuova chiave"
"Deployment configuration file is not writable.","File di configurazione di deploy non è scrivibile."
"Please enter an encryption key.","Inserire una chiave crittografica."
"The encryption key has been changed.","La chiave crittografica è stata cambiata."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Questa è la tua nuova chiave crittografica: %1. Prendine nota e conservala con cura!"
"Manage Encryption Key","Gestisci chiave di crittografia"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
