"Change Encryption Key","Promeni Enkripcijski Ključ"
"Encryption Key","Enkripcijski Ključ"
"New Encryption Key","Novi Enkripcijski Ključ"
"The encryption key is used to protect passwords and other sensitive data.","Enkripcijski ključ se koristi da bi zaštitio šifre i druge osetljive podatke."
"Auto-generate a Key","Automatski generisan ključ"
"No","Ne"
"Yes","Da"
"The generated key will be displayed after changing.","Generisani ključ će biti prikazan nakon menjanja."
"New Key","Novi Ključ"
"Deployment configuration file is not writable.","Datoteka za konfiguraciju razmeštanja nije upisiva."
"Please enter an encryption key.","Molimo upišite enkripcijski ključ."
"The encryption key has been changed.","Enkripcijski ključ je promenjen."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Ovo je vaš novi enkripcijski ključ: %1. Obavezno ga zapišite i dobto se pobrinite za to!"
"Manage Encryption Key","Upravljaj Enkripcijskim Ključem"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","Ovo je vaš novi ključ za šifrovanje: <span style=""font-family:monospace;"">%1</span>. Obavezno ga zapišite i dobro ga čuvajte!"
