"Change Encryption Key","تغییر کلید رمزگذاری"
"Encryption Key","کلید رمزگذاری"
"New Encryption Key","کلید رمزگذاری جدید"
"The encryption key is used to protect passwords and other sensitive data.","کلید رمزگذاری برای محافظت از کلمه عبور و دیگر اطلاعات حساس استفاده می شود."
"Auto-generate a Key","تولید خودکار یک کلید"
"No","خیر"
"Yes","بله"
"The generated key will be displayed after changing.","کلید تولید شده پس از تغییر، نمایش داده خواهد شد."
"New Key","کلید جدید"
"Deployment configuration file is not writable.","فایل پیکربندی اعمال شده قابل ویرایش نیست."
"Please enter an encryption key.","کلید رمزگذاری شده را وارد کنید."
"The encryption key has been changed.","کلید رمزگذاری تغییر کرده است."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","کلید رمزگذاری شده جدید شما: %1 است. حتما آن را یادداشت کرده و از آن مراقبت کنید!"
"Manage Encryption Key","مدیریت کلید رمزگذاری شده"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
