"Change Encryption Key","Ändra krypteringsnyckeln"
"Encryption Key","Krypteringsnyckel"
"New Encryption Key","Ny Krypteringsnyckel"
"The encryption key is used to protect passwords and other sensitive data.","Krypteringsnyckeln används för att skydda lösenord och andra känsliga data."
"Auto-generate a Key","Auto-generera en nyckel"
"No","Nej"
"Yes","Ja"
"The generated key will be displayed after changing.","Den genererade nyckeln kommer visas efter byte."
"New Key","Ny nyckel"
"Deployment configuration file is not writable.","Distributionskonfigurationsfilen är inte skrivbar."
"Please enter an encryption key.","Ange en krypteringsnyckel."
"The encryption key has been changed.","Krypteringsnyckeln har ändrats."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Detta är din nya krypteringsnyckel: %1. Glöm inte att skriva ner det och ta hand om det!"
"Manage Encryption Key","Hantera krypteringsnyckel"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
