"Change Encryption Key","تغيير مفتاح التشفير"
"Encryption Key","مفتاح التشفير"
"New Encryption Key","مفتاح تشفير جديد"
"The encryption key is used to protect passwords and other sensitive data.","يتم استخدام مفتاح التشفير لحماية كلمات المرور والبيانات الحساسة الأخرى."
"Auto-generate a Key","إنشاء تلقائي لمفتاح"
"No","لا"
"Yes","نعم"
"The generated key will be displayed after changing.","سيتم عرض المفتاح الذي تم إنشاؤه بعد تغيير."
"New Key","مفتاح جديد"
"Deployment configuration file is not writable.","Deployment configuration file is not writable."
"Please enter an encryption key.","الرجاء إدخال مفتاح تشفير."
"The encryption key has been changed.","تم تغيير مفتاح التشفير."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","This is your new encryption key: %1. Be sure to write it down and take good care of it!"
"Manage Encryption Key","إدارة مفتاح التشفير"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
