"Change Encryption Key","Alterar Chave de Encriptação"
"Encryption Key","Chave de Encriptação"
"New Encryption Key","Nova Chave de Encriptação"
"The encryption key is used to protect passwords and other sensitive data.","A chave de encriptação é usada para proteger as palavras-passe e outros dados confidenciais."
"Auto-generate a Key","Gerar uma Chave automaticamente"
"No","Não"
"Yes","Sim"
"The generated key will be displayed after changing.","A chave gerada será exibida após a alteração."
"New Key","Nova chave"
"Deployment configuration file is not writable.","Não existem permissões de escrita para o ficheiro de configuração de implementação."
"Please enter an encryption key.","Por favor digite uma chave de encriptação."
"The encryption key has been changed.","A chave de encriptação foi alterada."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Esta é sua nova chave de encriptação: %1. Não se esqueça de a apontar e de ter cuidado para não a divulgar!"
"Manage Encryption Key","Gerir Chave de Encriptação"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
