"Change Encryption Key","Промени Енкрипцијски Кључ"
"Encryption Key","Енкрипцијски Кључ"
"New Encryption Key","Нови Енкрипцијски Кључ"
"The encryption key is used to protect passwords and other sensitive data.","Енкрипцијски кључ се користи да би заштитио шифре и друге осетљиве податке."
"Auto-generate a Key","Аутоматски генерисан кључ"
"No","Не"
"Yes","Да"
"The generated key will be displayed after changing.","Генерисани кључ ће бити приказан након мењања."
"New Key","Нови Кључ"
"Deployment configuration file is not writable.","Датотека за конфигурацију размештања није уписива."
"Please enter an encryption key.","Молимо упишите енкрипцијски кључ."
"The encryption key has been changed.","Енкрипцијски кључ је промењен."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Ово је ваш нови енкрипцијски кључ: %1. Обавезно га запишите и добто се побрините за то!"
"Manage Encryption Key","Управљај Енкрипцијским Кључем"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","Ово је ваш нови кључ за шифровање: <спан стyле=""фонт-фамилy:моноспаце;"">%1</спан>. Обавезно га запишите и добро га чувајте!"
