"Change Encryption Key","Změnit šifrovací klíč"
"Encryption Key","Šifrovací klíč"
"New Encryption Key","Nový šifrovací klíč"
"The encryption key is used to protect passwords and other sensitive data.","Šifrovací klíč se používá k ochraně hesla a dalších důvěrných osobních údajů."
"Auto-generate a Key","Automaticky generovat klíč"
"No","Ne"
"Yes","Ano"
"The generated key will be displayed after changing.","Vygenerovaný klíč bude zobrazen až po změně."
"New Key","Nový klíč"
"Deployment configuration file is not writable.","Konfigurační soubor není zapisovatelný."
"Please enter an encryption key.","Zadejte prosím šifrovací klíč."
"The encryption key has been changed.","Šifrovací klíč byl změněn."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Váš nový šifrovací klíč: %1. Nezapomeňte si jej napsat a uložit na bezpečné místo!"
"Manage Encryption Key","Správa šifrovacího klíče"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
