"Change Encryption Key","Endre krypteringsnøkkel"
"Encryption Key","Krypteringsnøkkel"
"New Encryption Key","Ny krypteringsnøkkel"
"The encryption key is used to protect passwords and other sensitive data.","Krypteringsnøkkelen brukes til å beskytte passord og andre følsomme data."
"Auto-generate a Key","Auto-generere en nøkkel"
"No","Nei"
"Yes","Ja"
"The generated key will be displayed after changing.","The generated key will be displayed after changing."
"New Key","Ny nøkkel"
"Deployment configuration file is not writable.","Deployment configuration file is not writable."
"Please enter an encryption key.","Please enter an encryption key."
"The encryption key has been changed.","The encryption key has been changed."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","This is your new encryption key: %1. Be sure to write it down and take good care of it!"
"Manage Encryption Key","Manage Encryption Key"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
