"Change Encryption Key","Sicherheitsschlüssel ändern"
"Encryption Key","Verschlüsselungsschlüssel"
"New Encryption Key","Neuer Verschlüsselungsschlüssel"
"The encryption key is used to protect passwords and other sensitive data.","Der Schlüssel wird verwendet, um Kennwörter und andere vertraulichen Daten zu schützen."
"Auto-generate a Key","Einen Schlüssel automatisch generieren"
"No","Nein"
"Yes","Ja"
"The generated key will be displayed after changing.","Der generierte Schlüssel werden nach dem ändern angezeigt."
"New Key","Neuer Schlüssel"
"Deployment configuration file is not writable.","Deployment Konfigurationsdatei ist schreibgeschützt."
"Please enter an encryption key.","Bitte geben Sie einen Verschlüsselungsschlüssel."
"The encryption key has been changed.","Der Sicherheitsschlüssel wurde geändert."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Dies ist Ihr neuer Sicherheitsschlüssel: %1. Bitte notieren Sie ihn und bewahren Sie ihn sicher auf!"
"Manage Encryption Key","Sicherheitsschlüssel verwalten"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
