"Change Encryption Key","Αλλαγή Κλειδιού Κρυπτογράφησης"
"Encryption Key","Κλειδί Κρυπτογράφησης"
"New Encryption Key","Νέο Κλειδί Κρυπτογράφησης"
"The encryption key is used to protect passwords and other sensitive data.","Το κλειδί κρυπτογράφησης χρησιμοποιείται για να προστατεύει τους κωδικούς πρόσβασης και άλλα ευαίσθητα δεδομένα."
"Auto-generate a Key","Αυτόματη δημιουργία ενός Κλειδιού"
"No","Όχι"
"Yes","Ναί"
"The generated key will be displayed after changing.","Το κλειδί που δημιουργείται θα εμφανιστεί μετά την αλλαγή."
"New Key","Νέο Κλειδί"
"Deployment configuration file is not writable.","Το αρχείο ρύθμισης παραμέτρων ανάπτυξης δεν είναι εγγράψιμο."
"Please enter an encryption key.","Παρακαλώ εισάγετε ένα κλειδί κρυπτογράφησης."
"The encryption key has been changed.","Το κλειδί κρυπτογράφησης έχει αλλάξει."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Αυτό είναι το νέο κλειδί κρυπτογράφησης: %1. Να είστε βέβαιος ότι το καταγράψατε και να το προσέχετε καλά!"
"Manage Encryption Key","Διαχειριστείτε το κλειδί κρυπτογράφησης"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
