"Account Activity","Attività dell'account"
"All other open sessions for this account were terminated.","Tutte le altre sessioni aperte per questo account sono state terminate."
"We couldn't logout because of an error.","Logout non riuscito a causa di un errore."
"Someone logged into this account from another device or browser. Your current session is terminated.","Qualcun altro si è connesso a questo account da un'altra periferica o browser. La tua sessione corrente è stata terminata."
"Your current session is terminated by another user of this account.","La tua sessione corrente è stata terminata da un altro utente di questo account."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","La tua sessione corrente è scaduta."
"By IP and Email","Tramite IP ed Email"
"By IP","Tramite IP"
"By Email","Tramite Email"
"None","Nessuno"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Classe Security Checker non corretta. Deve implementare SecurityCheckerInterface"
"some error","qualche errore"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Questo account di amministratore è aperto in più posizioni. Notare che altre posizioni potrebbero essere diversi browser o sessioni sullo stesso computer."
"Concurrent session information:","Informazioni sulle sessioni simultanee:"
"IP Address","Indirizzo IP"
"Time of session start","Ora di inizio di sessione"
"Are you sure that you want to log out all other sessions?","Sei sicuro di uscire da tutte le altre sessioni?"
"Log out all other sessions","Esci da tutte le altre sessioni"
"This computer is using IP address %1.","Questo computer utilizza l'indirizzo IP %1."
"Admin Account Sharing","Condivisione dell'account Admin"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Se impostata su Sì, è possibile accedere da più computer nello stesso account. Predefinito è No per una maggior sicurezza."
"Password Reset Protection Type","Tipo di protezione per il Ripristino Password"
"Max Number of Password Reset Requests","Massimo numero di richieste Ripristino Password"
"Limit the number of password reset request per hour. Use 0 to disable.","Numero di richieste massimo di reset della password per ogni ora. Utilizzare 0 per disabilitare."
"Min Time Between Password Reset Requests","Tempo minimo tra le richieste di Ripristino Password"
"Delay in minutes between password reset requests. Use 0 to disable.","Tempo minimo di minuti tra le richieste di reset di password. Utilizzare 0 per disabilitare."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
