"Account Activity","Kontobewegung"
"All other open sessions for this account were terminated.","Alle offenen Sessions für dieses Konto wurden beendet."
"We couldn't logout because of an error.","Wir konnten Sie nicht ausloggen infolge eines Fehlers."
"Someone logged into this account from another device or browser. Your current session is terminated.","Jemand hat sich von einem anderen Gerät oder mit einem anderen Browser mit diesem Konto angemeldet. Ihre aktuelle Sitzung wurde beendet."
"Your current session is terminated by another user of this account.","Ihre aktuelle Sitzung wurde durch einen anderen Benutzer mit diesem Konto beendet."
"Your account is temporarily disabled.","Ihr Konto wurde vorübergehend gesperrt."
"Your current session has been expired.","Ihre aktuelle Sitzung ist abgelaufen."
"By IP and Email","Nach IP und E-Mail"
"By IP","Nach IP"
"By Email","Per E-Mail"
"None","Keine"
"Too many password reset requests. Please wait and try again or contact %1.","Zu viele Anforderungen zum Rücksetzen des Passworts. Bitte warten Sie und versuchen Sie es erneut, oder kontaktieren Sie %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Falsche Security Checker Klasse. Sie muss SecurityCheckerInterface implementieren"
"some error","ein Fehler"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Dieses Administratoren-Konto ist an mehreren Standorten offen. Beachten Sie, dass andere Browser oder Sitzungen auf demselben Computer als andere Standorte gelten."
"Concurrent session information:","Concurrent session information:"
"IP Address","IP Adresse"
"Time of session start","Time of session start"
"Are you sure that you want to log out all other sessions?","Are you sure that you want to log out all other sessions?"
"Log out all other sessions","Alle anderen Sitzungen abmelden"
"This computer is using IP address %1.","This computer is using IP address %1."
"Admin Account Sharing","Admin Account Sharing"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","If set to Yes, you can log in from multiple computers into same account. Default setting No improves security."
"Password Reset Protection Type","Password Reset Protection Type"
"Max Number of Password Reset Requests","Max Number of Password Reset Requests"
"Limit the number of password reset request per hour. Use 0 to disable.","Limit the number of password reset request per hour. Use 0 to disable."
"Min Time Between Password Reset Requests","Min Time Between Password Reset Requests"
"Delay in minutes between password reset requests. Use 0 to disable.","Delay in minutes between password reset requests. Use 0 to disable."
"Your account is temporarily disabled. Please try again later.","Ihr Konto ist vorübergehend deaktiviert. Bitte versuchen Sie es später erneut."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
