"Account Activity","Aktifitas Akun"
"All other open sessions for this account were terminated.","Semua sesi terbuka lainnya untuk akun ini telah dihentikan."
"We couldn't logout because of an error.","Kami tidak dapat keluar karena ada kesalahan."
"Someone logged into this account from another device or browser. Your current session is terminated.","Seseorang telah masuk menggunakan akun ini dari perangkat lain atau browser. Sesi anda saat ini dihentikan."
"Your current session is terminated by another user of this account.","Sesi anda saat ini telah dihentikan oleh pengguna lain dari akun ini."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","Sesi anda saat ini telah kadaluarsa."
"By IP and Email","Melalui IP dan Email"
"By IP","Melalui IP"
"By Email","Melalui Email"
"None","Kosong"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Incorrect Security Checker class. It has to implement SecurityCheckerInterface"
"some error","beberapa kesalahan"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Akun administrator ini terbuka lebih dari satu lokasi. Perhatikan bahwa lokasi lain mungkin berbeda dengan browser atau sesi dalam komputer yang sama."
"Concurrent session information:","Sesi informasi bersamaan:"
"IP Address","Alamat IP"
"Time of session start","Waktu memulai sesi"
"Are you sure that you want to log out all other sessions?","Apakah anda yakin bahwa anda ingin keluar dari semua sesi lain?"
"Log out all other sessions","Keluar dari semua sesi"
"This computer is using IP address %1.","Komputer ini menggunakan alamat IP %1."
"Admin Account Sharing","Berbagi Akun Admin"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Jika dipilih ke Ya, anda dapat masuk dari beberapa komputer ke akun yang sama. Pengaturan default tidak meningkatkan keamanan."
"Password Reset Protection Type","Jenis Keamanan Merubah Kata sandi"
"Max Number of Password Reset Requests","Jumlah Maksimal Permintaan Merubah Kata sandi"
"Limit the number of password reset request per hour. Use 0 to disable.","Limit the number of password reset request per hour. Use 0 to disable."
"Min Time Between Password Reset Requests","Min Time Between Password Reset Requests"
"Delay in minutes between password reset requests. Use 0 to disable.","Delay in minutes between password reset requests. Use 0 to disable."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
